subject	session	n_frames	mean_fd	median_fd	max_fd	n_frames_above_03	pct_frames_above_03	n_frames_above_05	pct_frames_above_05
sub-01	ses-01	240	0.2157147995221757	0.20966157	0.5200831367	53	22.083333333333332	1	0.4166666666666667
sub-01	ses-02	240	0.2010033744970707	0.18114359000000002	0.7303925800000001	41	17.083333333333332	3	1.25
sub-02	ses-01	240	0.1302721244073639	0.11586283999999998	0.45564850599999995	3	1.25	0	0.0
sub-02	ses-02	240	0.2099895194113793	0.19332883	0.7192459999999999	37	15.416666666666666	4	1.6666666666666667
sub-03	ses-01	240	0.18217113048953973	0.13536310000000001	1.3523818899999946	25	10.416666666666666	8	3.3333333333333335
sub-03	ses-02	240	0.2471974769790795	0.16612416499999996	1.836961172999995	47	19.583333333333332	22	9.166666666666666
sub-04	ses-01	240	0.18228902018828436	0.16607049999999995	0.795546049999995	29	12.083333333333334	4	1.6666666666666667
sub-04	ses-02	240	0.1944579042234312	0.172638525	1.02975717	32	13.333333333333334	2	0.8333333333333334
sub-05	ses-01	240	0.25190222208469837	0.237551	0.6037723	74	30.833333333333332	8	3.3333333333333335
sub-05	ses-02	240	0.25445372902175717	0.242257	0.64561632	75	31.25	7	2.9166666666666665
sub-06	ses-01	240	0.35019846323012555	0.30453030000000003	1.786347811	123	51.25	38	15.833333333333334
sub-06	ses-02	240	0.26987800289205005	0.26262336000000003	1.080009649999995	91	37.916666666666664	9	3.75
sub-07	ses-01	240	0.2011838646533891	0.19287942999999985	0.469766249999995	36	15.0	0	0.0
sub-07	ses-02	240	0.27618617634309617	0.255232575	0.6627994999999999	88	36.666666666666664	16	6.666666666666667
sub-08	ses-01	240	0.1827637761631795	0.15892998	0.463013099999995	36	15.0	0	0.0
sub-08	ses-02	240	0.4848089200585772	0.3039291	4.264175595	121	50.416666666666664	63	26.25
sub-09	ses-01	240	0.1708458285619247	0.15248540499999994	0.38142864349999994	24	10.0	0	0.0
sub-09	ses-02	240	0.17123264683974876	0.16452569000000003	0.41322565099999997	19	7.916666666666667	0	0.0
sub-10	ses-01	240	0.27643044567363995	0.27367430000000004	0.67780019	94	39.166666666666664	10	4.166666666666667
sub-10	ses-02	240	0.29662241788200827	0.2849784999999998	0.6642660000000001	115	47.916666666666664	10	4.166666666666667
sub-11	ses-01	240	0.31590988003347265	0.298690175	0.7700344999999948	118	49.166666666666664	21	8.75
sub-11	ses-02	240	0.2541848256326361	0.24129416999999986	0.7584042099999997	78	32.5	7	2.9166666666666665
sub-12	ses-01	240	0.48184610732334715	0.4774617500000001	0.937102595	194	80.83333333333333	110	45.833333333333336
sub-12	ses-02	240	0.48476409474058574	0.483050439999995	0.8694134899999999	206	85.83333333333333	107	44.583333333333336
sub-13	ses-01	240	0.19451828707698754	0.18453749999999497	0.50962195	37	15.416666666666666	1	0.4166666666666667
sub-13	ses-02	240	0.22359764123849382	0.21145144999999996	0.541119700000005	51	21.25	2	0.8333333333333334
sub-14	ses-01	240	0.13022142822803337	0.11571761500000001	0.37875287499999993	6	2.5	0	0.0
