subject,session,n_total,n_censored,pct_censored,n_retained,retained_min,max_gap_frames,max_gap_sec,n_blocks,mean_block_len_frames,median_block_len_frames,longest_retained_frames,longest_retained_sec,mean_retained_fd,max_retained_fd
sub-28,ses-01,240,22,9.166666666666666,218,6.54,3,5.4,16,1.38,1.0,44,79.2,0.1603,0.2958
sub-01,ses-01,240,53,22.083333333333332,187,5.61,3,5.4,46,1.15,1.0,20,36.0,0.1775,0.2963
sub-27,ses-01,240,45,18.75,195,5.85,3,5.4,36,1.25,1.0,28,50.4,0.1537,0.2998
sub-13,ses-01,240,37,15.416666666666666,203,6.09,3,5.4,27,1.37,1.0,31,55.8,0.1663,0.297
sub-26,ses-02,240,72,30.0,168,5.04,3,5.4,40,1.8,2.0,20,36.0,0.1766,0.2997
sub-25,ses-01,240,64,26.666666666666668,176,5.28,3,5.4,54,1.19,1.0,16,28.8,0.1653,0.2954
sub-23,ses-02,240,40,16.666666666666668,200,6.0,3,5.4,32,1.25,1.0,30,54.0,0.1672,0.2988
sub-23,ses-01,240,47,19.583333333333332,193,5.79,3,5.4,36,1.31,1.0,22,39.6,0.1737,0.298
sub-16,ses-02,240,79,32.916666666666664,161,4.83,3,5.4,54,1.46,1.0,14,25.2,0.1752,0.2986
sub-11,ses-02,240,78,32.5,162,4.86,3,5.4,53,1.47,1.0,22,39.6,0.1846,0.2995
sub-39,ses-01,240,24,10.0,216,6.48,2,3.6,16,1.5,1.5,40,72.0,0.1605,0.2994
sub-07,ses-01,240,36,15.0,204,6.12,2,3.6,33,1.09,1.0,22,39.6,0.1739,0.2959
sub-08,ses-01,240,36,15.0,204,6.12,2,3.6,26,1.38,1.0,33,59.4,0.1541,0.2955
sub-09,ses-01,240,24,10.0,216,6.48,2,3.6,22,1.09,1.0,36,64.8,0.1518,0.2978
sub-37,ses-01,240,18,7.5,222,6.66,2,3.6,15,1.2,1.0,94,169.2,0.1542,0.2975
sub-09,ses-02,240,19,7.916666666666667,221,6.63,2,3.6,18,1.06,1.0,59,106.2,0.1566,0.2934
sub-40,ses-02,240,8,3.3333333333333335,232,6.96,2,3.6,7,1.14,1.0,66,118.8,0.1324,0.2985
sub-14,ses-01,240,6,2.5,234,7.02,2,3.6,4,1.5,1.5,140,252.0,0.1251,0.2907
sub-28,ses-02,240,10,4.166666666666667,230,6.9,2,3.6,7,1.43,1.0,78,140.4,0.1414,0.2923
sub-19,ses-01,240,13,5.416666666666667,227,6.81,2,3.6,12,1.08,1.0,86,154.8,0.1512,0.2941
sub-20,ses-02,240,45,18.75,195,5.85,2,3.6,42,1.07,1.0,27,48.6,0.1774,0.2986
sub-22,ses-01,240,46,19.166666666666668,194,5.82,2,3.6,42,1.1,1.0,21,37.8,0.176,0.299
sub-18,ses-02,240,2,0.8333333333333334,238,7.14,1,1.8,2,1.0,1.0,154,277.2,0.1231,0.2807
sub-25,ses-02,240,9,3.75,231,6.93,1,1.8,9,1.0,1.0,65,117.0,0.147,0.2997
sub-02,ses-01,240,3,1.25,237,7.11,1,1.8,3,1.0,1.0,197,354.6,0.1274,0.2945
sub-40,ses-01,240,7,2.9166666666666665,233,6.99,1,1.8,7,1.0,1.0,65,117.0,0.1487,0.2999
sub-14,ses-02,240,3,1.25,237,7.11,1,1.8,3,1.0,1.0,123,221.4,0.1136,0.2631
sub-18,ses-01,240,0,0.0,240,7.2,0,0.0,0,,,240,432.0,0.1201,0.2957
