roi_id,sampen
8,4.099754247150437
9,4.092675837133256
36,4.668175868970138
39,3.8949674282326994
41,4.208108195330201
42,3.6115976272246235
47,3.973163815027685
51,3.661469526902928
52,4.23243830747353
54,3.855183447148219
55,4.295616817771515
56,4.109917692078035
100,4.5703791775767195
101,4.885696373339395
102,5.167814254846505
115,5.748708927234344
168,4.776493958352844
188,4.009847785956348
189,4.599912842187128
216,5.0325756035448705
219,4.136697023193635
220,5.445014845868423
221,4.859638312990346
222,4.269301164236152
231,3.5750594069534603
232,4.059182199211692
233,4.60222458934223
234,3.728128230907029
235,4.25142778618581
236,4.043854289589428
280,5.056831222596676
281,5.3513290113279215
282,5.426264754702098
284,5.140233316505507
295,4.504131426108112
348,4.37469857014253
