roi_id	mean_tsnr	median_tsnr	std_tsnr	n_subjects
223	45.536	43.996	7.674	70
224	54.055	55.272	10.06	70
225	56.275	56.201	8.289	70
226	60.908	60.054	9.614	70
227	55.803	55.86	8.245	70
228	55.573	56.18	6.122	70
229	63.825	63.503	9.801	70
231	53.073	52.569	8.154	70
232	54.039	53.346	7.342	70
233	56.117	56.021	6.702	70
234	55.987	55.618	9.811	70
235	54.193	54.326	8.199	70
236	49.324	49.145	7.953	70
237	49.79	49.774	6.393	70
238	44.752	46.276	5.781	70
239	44.79	43.991	7.807	70
240	51.92	51.045	8.029	70
242	47.068	46.436	7.746	70
243	48.198	49.193	8.633	70
245	21.616	21.521	9.937	70
246	23.318	22.893	9.568	70
247	51.983	53.233	9.187	70
250	55.363	55.969	11.774	70
251	52.055	51.361	10.433	70
252	31.325	33.347	15.842	70
253	51.147	50.575	6.278	70
254	40.481	40.496	7.313	70
255	37.193	37.645	6.843	70
256	28.655	31.688	10.289	70
257	21.716	19.105	13.652	70
259	44.274	44.49	6.609	70
260	44.926	45.309	5.081	70
261	40.886	41.427	5.901	70
262	37.513	37.269	8.732	70
263	45.614	45.672	7.366	70
264	51.162	51.418	9.167	70
265	33.195	35.85	12.455	70
268	11.54	9.005	7.241	70
269	20.715	16.397	13.411	70
270	14.55	9.125	10.982	70
271	14.938	10.525	10.523	70
272	24.264	25.862	9.197	70
273	10.91	8.665	5.913	70
274	23.815	25.008	8.008	70
275	52.303	52.192	6.472	70
276	56.96	55.984	8.786	70
277	58.305	57.607	11.388	70
278	55.058	55.035	11.272	70
280	42.643	43.075	6.046	70
281	40.491	40.446	5.447	70
282	40.73	40.542	6.244	70
283	37.517	37.425	5.62	70
284	34.666	34.803	5.826	70
285	42.337	42.628	6.401	70
287	34.793	35.652	6.139	70
288	42.61	43.322	6.431	70
289	38.592	38.231	5.193	70
290	20.776	19.413	6.477	70
293	40.806	40.808	3.575	70
294	46.205	47.181	5.664	70
295	44.105	43.673	5.299	70
296	51.881	52.408	9.292	70
298	19.173	21.136	7.59	70
299	17.785	17.927	3.315	70
300	30.463	30.454	4.45	70
301	37.232	36.758	5.043	70
303	16.791	14.278	10.225	70
304	37.017	36.885	8.182	70
305	42.012	42.955	6.17	70
306	29.852	29.809	4.834	70
307	37.43	37.214	6.256	70
308	35.572	36.387	6.161	70
309	43.743	44.284	5.455	70
310	41.586	41.492	7.409	70
311	13.458	10.185	9.211	70
313	46.612	47.701	8.964	70
314	11.163	10.016	4.787	70
315	16.113	14.655	6.187	70
316	43.301	42.995	6.408	70
317	50.299	49.061	9.052	70
319	50.329	50.138	7.333	70
320	49.917	50.343	7.209	70
321	50.856	50.855	8.015	70
322	61.179	62.351	8.857	70
323	49.446	50.083	12.023	70
324	53.653	54.378	9.114	70
325	54.801	54.222	9.105	70
326	66.375	66.356	11.192	70
327	49.202	49.437	6.751	70
328	55.102	54.671	7.421	70
329	62.377	62.55	8.301	70
331	55.0	54.7	10.195	70
332	58.112	58.731	11.014	70
333	31.941	30.865	5.861	70
334	39.938	40.098	6.205	70
335	34.121	35.014	6.282	70
336	39.568	39.751	12.728	70
338	52.466	50.852	13.242	70
339	47.892	48.215	10.971	70
340	39.944	40.812	6.283	70
341	46.936	45.604	7.468	70
342	48.411	48.687	6.231	70
343	31.043	30.724	5.259	70
344	21.047	20.394	5.611	70
345	14.489	12.58	7.348	70
346	26.544	26.416	4.354	70
347	42.077	42.763	5.175	70
348	42.124	42.306	4.529	70
350	33.937	35.928	14.671	70
