"layer","detrend_raw_full_p","detrend_raw_full_q","detrend_raw_iqr_p","detrend_raw_iqr_q","detrend_resid_full_p","detrend_resid_full_q","detrend_resid_iqr_p","detrend_resid_iqr_q","glm_raw_full_p","glm_raw_full_q","glm_raw_iqr_p","glm_raw_iqr_q","glm_resid_full_p","glm_resid_full_q","glm_resid_iqr_p","glm_resid_iqr_q","maximal_raw_full_p","maximal_raw_full_q","maximal_raw_iqr_p","maximal_raw_iqr_q","maximal_resid_full_p","maximal_resid_full_q","maximal_resid_iqr_p","maximal_resid_iqr_q"
"visual",0.2121,0.8339,0.3765,0.7709,NA,NA,NA,NA,0.5081,0.6098,0.7975,0.8534,NA,NA,NA,NA,0.5986,0.9874,0.5986,0.804,NA,NA,NA,NA
"auditory",0.6483,0.9119,0.9186,0.9591,NA,NA,NA,NA,0.3298,0.6098,0.553,0.8296,NA,NA,NA,NA,0.67,0.9874,0.67,0.804,NA,NA,NA,NA
"motor",0.417,0.8339,0.3546,0.7709,NA,NA,NA,NA,0.4375,0.6098,0.4399,0.8296,NA,NA,NA,NA,0.7213,0.9874,0.3837,0.804,NA,NA,NA,NA
"extero",0.9749,0.9749,0.9591,0.9591,NA,NA,NA,NA,0.8538,0.8538,0.8534,0.8534,NA,NA,NA,NA,0.3154,0.9874,0.3139,0.804,NA,NA,NA,NA
"intero",0.3874,0.8339,0.3855,0.7709,NA,NA,NA,NA,0.1417,0.6098,0.2478,0.8296,NA,NA,NA,NA,0.9874,0.9874,0.9882,0.9882,NA,NA,NA,NA
"mental",0.7599,0.9119,0.7611,0.9591,NA,NA,NA,NA,0.4048,0.6098,0.4066,0.8296,NA,NA,NA,NA,0.94,0.9874,0.6422,0.804,NA,NA,NA,NA
