roi_id,sampen
8,4.582346552514145
9,4.8229517771086226
36,5.266786540694901
39,4.672425341971495
41,4.498805856971441
42,4.35954238668714
47,5.273018494406416
51,4.975315736619403
52,4.99397621237223
54,4.159198594849254
55,4.607330313749611
56,4.358128736602933
100,6.083213368248982
101,5.278449458220482
102,5.312882955284356
115,5.2513748150620545
168,5.2597432636907815
188,4.535275376620803
189,5.7369655941662066
216,5.435554516619357
219,5.398031073973154
220,5.646074015024544
221,5.17687776208408
222,4.147169087374607
231,4.8529975876133165
232,5.049243519019849
233,5.294620748891627
234,4.517013170228075
235,4.506823673224824
236,4.549338590990435
280,5.029011086659069
281,6.024831852979935
282,5.254611826748799
284,5.089093926829268
295,5.396604781181859
348,5.232209279696655
