roi_id,sampen
8,2.926774019939067
9,3.5158699774482103
36,3.5259181464237677
39,3.1975372326501725
41,3.53605290024021
42,2.6317140787379896
47,3.040379461515839
51,3.0880776697450014
52,3.1411246295894832
54,3.342672441239896
55,2.852592772091541
56,3.6640493382457695
100,3.354916506841273
101,3.6648860450181053
102,4.566815154010897
115,4.362570079384708
168,4.121015400961366
188,3.0734394242513483
189,3.2735935024016283
216,3.458562786909208
219,2.731928651885364
220,3.856558920058374
221,3.8099288657214307
222,2.999367100213193
231,2.8566826344211727
232,3.180432659260706
233,3.101650076094435
234,2.8670958733789123
235,3.3909871368007902
236,3.1509906435358928
280,3.429987840744815
281,3.6235621908873847
282,3.7691524682251067
284,4.359226636310338
295,4.254112710659791
348,3.4441763929819196
