"category","t","df","t_p","U","U_p","d","d_lab"
"Interoceptive Self",0.015358621190777,32.6673371209058,0.98783949534068,150,0.934239341480857,0.00517000823824711,"negligible"
"Exteroceptive Self",1.17451385388934,29.5858945905632,0.249556488508797,178,0.418733473186816,0.392638290998516,"small"
"Mental Self",0.626289929171385,30.559230055592,0.535775340355291,154,0.986833540317941,0.209712565579902,"small"
"Sensory-Motor",0.16779008128956,32.4360044718945,0.867790239974119,158,0.881930721277946,0.05643044898778,"negligible"
