"category","n_roi","drug_session_b","drug_session_SE","drug_session_t","drug_session_p"
"Sensory-Motor",267,0.0415731304677263,0.0128807767841057,3.22753287045744,0.00125081468854859
"Interoception",14,0.0180518152493947,0.0362532845201519,0.497935993616256,0.618646877431292
"Exteroception",16,0.087354380550059,0.0352343260133874,2.47924085497956,0.0133196791796132
"Cognition",12,0.00831292808747895,0.0446104795565172,0.186344737158615,0.852222145041476
