"region","session_est","session_dz","session_ci_low","session_ci_high","session_p","session_q","arm_est","arm_ci_low","arm_ci_high","arm_p","arm_q","singular"
"intero",0.1349,0.428,0.0253,0.2445,0.0174,0.0435,0.0561,-0.0678,0.18,0.3629,0.6048,FALSE
"extero",0.0682,0.277,-0.0191,0.1555,0.1216,0.152,-0.0653,-0.1821,0.0516,0.2633,0.6048,FALSE
"cognition",0.1273,0.337,-1e-04,0.2546,0.0501,0.0835,0.0168,-0.1257,0.1593,0.8114,0.8114,FALSE
"visual",0.2094,0.646,0.0891,0.3296,0.0012,0.006,-0.1598,-0.3229,0.0033,0.0545,0.2725,FALSE
"auditory",-0.0077,0.025,-0.0762,0.0607,0.8193,0.8193,0.0448,-0.0894,0.1791,0.5011,0.6264,FALSE
