"region","effect","dz","ci_low","ci_high","p","q","survives","n","singular","KR_df"
"intero",0.0178,0.166,-0.1943,0.2299,0.8653,0.9182,"no",35,FALSE,31.7
"extero",0.0876,0.444,-0.0964,0.2717,0.3392,0.9182,"no",35,FALSE,31.7
"cognition",0.0096,0.168,-0.1793,0.1985,0.9182,0.9182,"no",35,FALSE,31.7
"visual",0.0305,0.208,-0.1582,0.2192,0.744,0.9182,"no",35,FALSE,31.7
"auditory",0.0697,0.341,-0.1123,0.2517,0.4409,0.9182,"no",35,FALSE,31.5
