"region","effect","dz","ci_low","ci_high","p","q","survives","n","singular","KR_df"
"intero",0.0861,0.437,-0.0798,0.2521,0.2981,0.4968,"no",35,FALSE,31.4
"extero",0.1097,0.54,-0.0772,0.2965,0.2405,0.4968,"no",35,FALSE,31.6
"cognition",0.1087,0.503,-0.0809,0.2983,0.2515,0.4968,"no",35,FALSE,31.6
"visual",0.0348,0.148,-0.2255,0.2951,0.7871,0.8622,"no",35,FALSE,31.7
"auditory",-0.0189,0.002,-0.2395,0.2016,0.8622,0.8622,"no",35,FALSE,31.5
