"region","session_est","session_dz","session_ci_low","session_ci_high","session_p","session_q","arm_est","arm_ci_low","arm_ci_high","arm_p","arm_q","singular"
"intero",0.1924,0.525,0.0735,0.3112,0.0024,0.004,-0.0202,-0.1612,0.1209,0.7723,0.7723,FALSE
"extero",0.1842,0.705,0.0812,0.2872,9e-04,0.0022,-0.045,-0.2121,0.1222,0.5873,0.7723,FALSE
"cognition",0.0032,0,-0.1426,0.149,0.9649,0.9649,0.039,-0.1205,0.1984,0.6217,0.7723,FALSE
"visual",0.2768,0.751,0.1317,0.4219,5e-04,0.0022,-0.1101,-0.3477,0.1276,0.3523,0.7723,FALSE
"auditory",0.0379,0.111,-0.092,0.1678,0.5565,0.6956,0.0417,-0.1577,0.2411,0.6728,0.7723,FALSE
