"region","session_est","session_dz","session_ci_low","session_ci_high","session_p","session_q","arm_est","arm_ci_low","arm_ci_high","arm_p","arm_q","singular"
"intero",0.0138,0.036,-0.0945,0.1221,0.797,0.8088,0.0974,-0.0539,0.2487,0.1989,0.4059,FALSE
"extero",0.0451,0.202,-0.0489,0.139,0.3363,0.5605,-0.0051,-0.138,0.1278,0.9379,0.9379,FALSE
"cognition",0.0116,0.07,-0.0848,0.108,0.8088,0.8088,0.0939,-0.0407,0.2285,0.1646,0.4059,FALSE
"visual",0.1113,0.435,0.015,0.2075,0.0248,0.124,-0.0638,-0.1937,0.0662,0.3247,0.4059,FALSE
"auditory",0.0583,0.146,-0.0349,0.1515,0.2116,0.529,0.0805,-0.0792,0.2403,0.3121,0.4059,FALSE
