"region","session_est","session_ci_low","session_ci_high","session_p","session_q","arm_est","arm_ci_low","arm_ci_high","arm_p","arm_q","singular"
"intero",0.0406,-0.0445,0.1256,0.339,0.4301,0.0568,-0.1069,0.2205,0.4846,0.8077,FALSE
"extero",0.0411,-0.0545,0.1367,0.3874,0.4301,0,-0.1559,0.1558,0.9995,0.9995,FALSE
"cognition",0.0381,-0.0589,0.135,0.4301,0.4301,0.0315,-0.1165,0.1794,0.6674,0.8342,FALSE
"visual",0.1095,-0.0233,0.2424,0.1028,0.4301,-0.0956,-0.2773,0.086,0.2913,0.8077,FALSE
"auditory",0.0568,-0.0562,0.1698,0.3135,0.4301,0.0935,-0.1019,0.289,0.3369,0.8077,FALSE
