subject	session	layer	n_rois	n_timepoints	status	elapsed_sec	timestamp
sub-07	ses-02	Visual	55	240	DONE	6.7	2026-06-22T10:57:59
sub-07	ses-02	Motor	36	240	DONE	6.7	2026-06-22T10:57:59
sub-07	ses-02	Auditory	14	240	DONE	6.7	2026-06-22T10:57:59
sub-09	ses-01	Interoception	11	240	DONE	6.5	2026-06-22T10:58:06
sub-09	ses-01	Exteroception	14	240	DONE	6.5	2026-06-22T10:58:06
sub-09	ses-01	Cognition	12	240	DONE	6.5	2026-06-22T10:58:06
sub-09	ses-01	Visual	55	240	DONE	6.5	2026-06-22T10:58:06
sub-09	ses-01	Motor	36	240	DONE	6.6	2026-06-22T10:58:06
sub-09	ses-01	Auditory	14	240	DONE	6.6	2026-06-22T10:58:06
sub-09	ses-02	Interoception	11	240	DONE	7.1	2026-06-22T10:58:13
sub-09	ses-02	Exteroception	14	240	DONE	7.1	2026-06-22T10:58:13
sub-09	ses-02	Cognition	12	240	DONE	7.1	2026-06-22T10:58:13
sub-09	ses-02	Visual	55	240	DONE	7.2	2026-06-22T10:58:13
sub-09	ses-02	Motor	36	240	DONE	7.2	2026-06-22T10:58:13
sub-09	ses-02	Auditory	14	240	DONE	7.2	2026-06-22T10:58:13
sub-10	ses-01	Interoception	11	240	DONE	7.3	2026-06-22T10:58:20
sub-10	ses-01	Exteroception	14	240	DONE	7.3	2026-06-22T10:58:20
sub-10	ses-01	Cognition	12	240	DONE	7.3	2026-06-22T10:58:20
sub-10	ses-01	Visual	55	240	DONE	7.3	2026-06-22T10:58:20
sub-10	ses-01	Motor	36	240	DONE	7.4	2026-06-22T10:58:20
sub-10	ses-01	Auditory	14	240	DONE	7.4	2026-06-22T10:58:20
sub-10	ses-02	Interoception	11	240	DONE	6.6	2026-06-22T10:58:27
sub-10	ses-02	Exteroception	14	240	DONE	6.6	2026-06-22T10:58:27
sub-10	ses-02	Cognition	12	240	DONE	6.6	2026-06-22T10:58:27
sub-10	ses-02	Visual	55	240	DONE	6.7	2026-06-22T10:58:27
sub-10	ses-02	Motor	36	240	DONE	6.7	2026-06-22T10:58:27
sub-10	ses-02	Auditory	14	240	DONE	6.7	2026-06-22T10:58:27
sub-11	ses-01	Interoception	11	240	DONE	6.5	2026-06-22T10:58:34
sub-11	ses-01	Exteroception	14	240	DONE	6.6	2026-06-22T10:58:34
sub-11	ses-01	Cognition	12	240	DONE	6.6	2026-06-22T10:58:34
sub-11	ses-01	Visual	55	240	DONE	6.6	2026-06-22T10:58:34
sub-11	ses-01	Motor	36	240	DONE	6.6	2026-06-22T10:58:34
sub-11	ses-01	Auditory	14	240	DONE	6.7	2026-06-22T10:58:34
sub-11	ses-02	Interoception	11	240	DONE	6.5	2026-06-22T10:58:40
sub-11	ses-02	Exteroception	14	240	DONE	6.5	2026-06-22T10:58:40
sub-11	ses-02	Cognition	12	240	DONE	6.5	2026-06-22T10:58:40
sub-11	ses-02	Visual	55	240	DONE	6.6	2026-06-22T10:58:40
sub-11	ses-02	Motor	36	240	DONE	6.6	2026-06-22T10:58:40
sub-11	ses-02	Auditory	14	240	DONE	6.6	2026-06-22T10:58:40
sub-13	ses-01	Interoception	11	240	DONE	7.2	2026-06-22T10:58:48
sub-13	ses-01	Exteroception	14	240	DONE	7.2	2026-06-22T10:58:48
sub-13	ses-01	Cognition	12	240	DONE	7.2	2026-06-22T10:58:48
sub-13	ses-01	Visual	55	240	DONE	7.3	2026-06-22T10:58:48
sub-13	ses-01	Motor	36	240	DONE	7.3	2026-06-22T10:58:48
sub-13	ses-01	Auditory	14	240	DONE	7.3	2026-06-22T10:58:48
sub-13	ses-02	Interoception	11	240	DONE	6.2	2026-06-22T10:58:54
sub-13	ses-02	Exteroception	14	240	DONE	6.2	2026-06-22T10:58:54
sub-13	ses-02	Cognition	12	240	DONE	6.2	2026-06-22T10:58:54
sub-13	ses-02	Visual	55	240	DONE	6.2	2026-06-22T10:58:54
sub-13	ses-02	Motor	36	240	DONE	6.3	2026-06-22T10:58:54
sub-13	ses-02	Auditory	14	240	DONE	6.3	2026-06-22T10:58:54
sub-14	ses-01	Interoception	11	240	DONE	7.6	2026-06-22T10:59:02
sub-14	ses-01	Exteroception	14	240	DONE	7.6	2026-06-22T10:59:02
sub-14	ses-01	Cognition	12	240	DONE	7.6	2026-06-22T10:59:02
sub-14	ses-01	Visual	55	240	DONE	7.7	2026-06-22T10:59:02
sub-14	ses-01	Motor	36	240	DONE	7.7	2026-06-22T10:59:02
sub-14	ses-01	Auditory	14	240	DONE	7.7	2026-06-22T10:59:02
sub-14	ses-02	Interoception	11	240	DONE	6.4	2026-06-22T10:59:08
sub-14	ses-02	Exteroception	14	240	DONE	6.4	2026-06-22T10:59:08
sub-14	ses-02	Cognition	12	240	DONE	6.4	2026-06-22T10:59:08
sub-14	ses-02	Visual	55	240	DONE	6.4	2026-06-22T10:59:08
sub-14	ses-02	Motor	36	240	DONE	6.5	2026-06-22T10:59:08
sub-14	ses-02	Auditory	14	240	DONE	6.5	2026-06-22T10:59:08
sub-15	ses-01	Interoception	11	240	DONE	6.7	2026-06-22T10:59:15
sub-15	ses-01	Exteroception	14	240	DONE	6.7	2026-06-22T10:59:15
sub-15	ses-01	Cognition	12	240	DONE	6.7	2026-06-22T10:59:15
sub-15	ses-01	Visual	55	240	DONE	6.8	2026-06-22T10:59:15
sub-15	ses-01	Motor	36	240	DONE	6.8	2026-06-22T10:59:15
sub-15	ses-01	Auditory	14	240	DONE	6.8	2026-06-22T10:59:15
sub-15	ses-02	Interoception	11	240	DONE	6.1	2026-06-22T10:59:21
sub-15	ses-02	Exteroception	14	240	DONE	6.2	2026-06-22T10:59:21
sub-15	ses-02	Cognition	12	240	DONE	6.2	2026-06-22T10:59:21
sub-15	ses-02	Visual	55	240	DONE	6.2	2026-06-22T10:59:21
sub-15	ses-02	Motor	36	240	DONE	6.2	2026-06-22T10:59:21
sub-15	ses-02	Auditory	14	240	DONE	6.3	2026-06-22T10:59:21
sub-16	ses-01	Interoception	11	240	DONE	6.2	2026-06-22T10:59:27
sub-16	ses-01	Exteroception	14	240	DONE	6.2	2026-06-22T10:59:27
sub-16	ses-01	Cognition	12	240	DONE	6.2	2026-06-22T10:59:27
sub-16	ses-01	Visual	55	240	DONE	6.3	2026-06-22T10:59:27
sub-16	ses-01	Motor	36	240	DONE	6.3	2026-06-22T10:59:28
sub-16	ses-01	Auditory	14	240	DONE	6.3	2026-06-22T10:59:28
sub-16	ses-02	Interoception	11	240	DONE	6.5	2026-06-22T10:59:34
sub-16	ses-02	Exteroception	14	240	DONE	6.5	2026-06-22T10:59:34
sub-16	ses-02	Cognition	12	240	DONE	6.5	2026-06-22T10:59:34
sub-16	ses-02	Visual	55	240	DONE	6.6	2026-06-22T10:59:34
sub-16	ses-02	Motor	36	240	DONE	6.6	2026-06-22T10:59:34
sub-16	ses-02	Auditory	14	240	DONE	6.6	2026-06-22T10:59:34
sub-17	ses-01	Interoception	11	240	DONE	6.2	2026-06-22T10:59:41
sub-17	ses-01	Exteroception	14	240	DONE	6.3	2026-06-22T10:59:41
sub-17	ses-01	Cognition	12	240	DONE	6.3	2026-06-22T10:59:41
sub-17	ses-01	Visual	55	240	DONE	6.3	2026-06-22T10:59:41
sub-17	ses-01	Motor	36	240	DONE	6.4	2026-06-22T10:59:41
sub-17	ses-01	Auditory	14	240	DONE	6.4	2026-06-22T10:59:41
sub-17	ses-02	Interoception	11	240	DONE	6.2	2026-06-22T10:59:47
sub-17	ses-02	Exteroception	14	240	DONE	6.3	2026-06-22T10:59:47
sub-17	ses-02	Cognition	12	240	DONE	6.3	2026-06-22T10:59:47
sub-17	ses-02	Visual	55	240	DONE	6.3	2026-06-22T10:59:47
sub-17	ses-02	Motor	36	240	DONE	6.4	2026-06-22T10:59:47
sub-17	ses-02	Auditory	14	240	DONE	6.4	2026-06-22T10:59:47
sub-18	ses-01	Interoception	11	240	DONE	6.2	2026-06-22T10:59:54
sub-18	ses-01	Exteroception	14	240	DONE	6.2	2026-06-22T10:59:54
sub-18	ses-01	Cognition	12	240	DONE	6.2	2026-06-22T10:59:54
sub-18	ses-01	Visual	55	240	DONE	6.3	2026-06-22T10:59:54
sub-18	ses-01	Motor	36	240	DONE	6.3	2026-06-22T10:59:54
sub-18	ses-01	Auditory	14	240	DONE	6.3	2026-06-22T10:59:54
sub-18	ses-02	Interoception	11	240	DONE	6.6	2026-06-22T11:00:00
sub-18	ses-02	Exteroception	14	240	DONE	6.6	2026-06-22T11:00:00
sub-18	ses-02	Cognition	12	240	DONE	6.6	2026-06-22T11:00:00
sub-18	ses-02	Visual	55	240	DONE	6.6	2026-06-22T11:00:00
