"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",18,0.344603459824154,0.734618845293141
"intero","verum_prepost_pairedt",17,0.827402857353562,0.420178525835664
"extero","placebo_prepost_pairedt",18,0.344267949748618,0.734866633422194
"extero","verum_prepost_pairedt",17,0.630490813942429,0.537275535274113
"mental","placebo_prepost_pairedt",18,1.18512528959228,0.252271118445465
"mental","verum_prepost_pairedt",17,0.805976912819331,0.4320726401963
"visual","placebo_prepost_pairedt",18,0.400186294082718,0.69400323771146
"visual","verum_prepost_pairedt",17,0.45157626263853,0.657635258060238
"motor","placebo_prepost_pairedt",18,1.05863142725013,0.304578743337281
"motor","verum_prepost_pairedt",17,0.718011516782526,0.483103439646538
"auditory","placebo_prepost_pairedt",18,0.999097700839417,0.33175707982818
"auditory","verum_prepost_pairedt",17,1.28006946194798,0.218769415898794
"Pooled","baseline_welch_t",35,0.525219842616829,0.603763484613833
"Pooled","baseline_mannwhitney",35,172,0.541470392439108
"Pooled","baseline_cohens_d",35,0.179902554379514,NA
"intero","baseline_welch_t",35,0.271640106942286,0.787846301971195
"intero","baseline_mannwhitney",35,161,0.80449274880142
"intero","baseline_cohens_d",35,0.092776021618871,NA
"extero","baseline_welch_t",35,0.403258486455849,0.68943972676479
"extero","baseline_mannwhitney",35,159,0.855953903363525
"extero","baseline_cohens_d",35,0.136856819974746,NA
"mental","baseline_welch_t",35,-0.0619242442984178,0.950999504191696
"mental","baseline_mannwhitney",35,154,0.986833540317941
"mental","baseline_cohens_d",35,-0.0209599609177934,NA
"visual","baseline_welch_t",35,0.877207885426564,0.388347979171256
"visual","baseline_mannwhitney",35,179,0.399997660666238
"visual","baseline_cohens_d",35,0.300689507837946,NA
"motor","baseline_welch_t",35,0.533466456714057,0.597800493742062
"motor","baseline_mannwhitney",35,173,0.519837507716868
"motor","baseline_cohens_d",35,0.182151750107108,NA
"auditory","baseline_welch_t",35,-0.503547423872836,0.618630841090808
"auditory","baseline_mannwhitney",35,153,1
"auditory","baseline_cohens_d",35,-0.172352350823976,NA
