"layer","n_verum","n_placebo","observed_diff","sw_p_verum","sw_p_placebo","test1_method","test1_stat","test1_p_raw","test1_p_fdr","perm_p_raw","perm_p_fdr"
"visual",17,18,-0.135833822021596,0.164714529022886,0.918863973157265,"Welch t-test",-1.03023213163178,0.310801713870728,0.466202570806092,0.312268773122688,0.468403159684032
"auditory",16,18,-0.0460714456964228,0.0837274310627562,0.451771409199227,"Welch t-test",-0.423845549336522,0.675353920249253,0.675353920249253,0.688131186881312,0.688131186881312
"motor",17,18,-0.163173624713489,0.798632423724411,0.912806656715976,"Welch t-test",-1.09009571515604,0.283911448610292,0.466202570806092,0.288471152884712,0.468403159684032
"extero",17,18,-0.0714935008232221,0.216401536465791,0.816687636450463,"Welch t-test",-0.753443699536868,0.457994543616509,0.549593452339811,0.457554244575542,0.549065093490651
"intero",17,17,-0.132729643071338,0.858803352951202,0.226884257697194,"Welch t-test",-1.40172184515506,0.171555920601102,0.466202570806092,0.167783221677832,0.468403159684032
"mental",17,18,-0.163195188489466,0.355917020085455,0.393208847780497,"Welch t-test",-1.28540116574264,0.207619324763358,0.466202570806092,0.2004799520048,0.468403159684032
