roi_id,sampen
1,3.827568142947113
2,4.398693985826425
3,4.394531843844202
4,4.377625900290748
5,4.078002512001273
6,3.9043235219047205
7,4.650764559116903
13,3.8304385351706456
16,4.308578541228343
17,3.9605698551714625
18,4.637659923810819
19,4.293599371828868
20,4.079091279805223
21,4.165843824630495
22,4.039678324692036
23,3.7441610955704103
48,3.7932797368458817
49,3.1393718345685504
121,5.8610869059953945
142,4.799406168942113
152,3.965345930972315
153,5.191343985077219
154,4.613429156023217
156,3.7914133781885826
157,4.3299208856408935
158,3.9678195942508503
159,3.801095931585922
160,4.306387243991585
163,4.371558862611963
181,3.760669854757475
182,4.157676455720792
183,4.672425341971495
184,4.842064576345251
185,3.505936693978114
186,4.029287226968245
187,4.430452551665532
193,3.4286592698424805
196,4.394172979357243
198,4.84890741150211
199,4.027032958697016
201,4.8053718357785025
202,4.519755370627278
203,3.886426493048803
229,3.6858458577338173
301,4.915879378835774
322,4.757697035750293
332,4.309072889985787
333,5.762500686273344
334,4.482919971559667
336,4.175893959236556
337,4.097610796626422
338,4.432274204204147
339,4.653857581932224
340,4.315355440963876
343,4.6173839784135335
