Timepoint,8,9,36,39,41,42,47,51,52,54,55,56,100,101,102,115,168,188,189,216,219,220,221,222,231,232,233,234,235,236,280,281,282,284,295,348
0,1.7615092,1.6392994,-0.5091115,-0.2876025,4.91018,0.8206856,-1.8924468,0.08181739,-0.17760664,0.6220659,0.009219122,1.6078165,-1.2366077,-0.4338641,1.561934,0.13331395,3.9701135,0.27458254,-0.5478917,-0.51056325,1.3596871,0.33633387,3.7965803,-1.4567338,-0.3921847,0.18791537,4.991488,1.2035575,2.2719615,-0.20271872,1.3345418,4.445629,4.179701,1.6790622,0.5512474,0.67543286
1,4.2622814,6.1209025,1.6390638,3.841456,5.6049743,2.3869622,1.4530075,2.207701,2.8489394,2.9505513,2.1526685,5.7605176,1.3812194,1.7624682,6.9483905,3.9922462,5.926717,3.6064866,2.6838357,3.6490488,5.9225435,5.5858936,7.134426,1.1178721,2.2158816,1.9432874,9.520064,4.584207,4.2462454,2.3150444,5.069714,7.4584394,4.3858457,2.5197072,1.9583771,-1.4720111
2,5.2674894,9.496209,2.8338895,7.6273193,4.751795,3.5975556,4.697916,3.6195123,4.6692266,4.506879,3.674609,7.619075,3.1137357,0.9941525,7.652669,7.0153856,6.273191,5.408628,5.1821513,6.7037435,8.87385,7.9513054,8.0522995,3.8669884,4.134135,3.0584896,9.716517,6.6940994,5.000544,3.6492128,6.2904797,8.096684,1.969185,0.86258924,2.8780594,-3.80612
3,4.18979,9.615335,2.0894263,8.71859,2.5328176,3.8400416,5.427539,3.689659,4.488333,4.4414907,3.575182,5.7686377,2.7756212,-2.968543,3.138606,7.015869,5.3978105,4.5305076,5.5548205,6.8488326,9.005868,6.2956114,6.1580553,4.7297597,4.1670313,2.862372,5.0353117,6.1108923,4.0417023,2.953937,4.6397295,5.686502,-0.94013166,-2.2604635,2.3252683,-4.464291
4,1.8800316,6.388977,-0.11932037,6.450756,-0.44955856,2.9028745,3.1488802,2.6619482,3.084762,3.1096628,1.8985474,1.4252902,1.006692,-7.1552014,-3.482926,3.3856235,4.0371776,1.8091643,3.9099708,4.4749227,7.1743693,2.8406923,2.7674181,3.0800831,2.5205228,1.5998617,-1.5946642,3.2070467,1.8661802,0.87285393,1.7421877,1.264287,-2.0002956,-3.992456,0.14994118,-2.690388
5,-0.096232414,1.8584224,-2.428202,2.2471707,-3.1975555,1.0088586,-0.3181171,1.3653762,2.0358121,1.7251953,-0.25825417,-2.4851618,-0.4940133,-7.7545667,-8.3489065,-2.060764,2.5937047,-0.7776321,1.575768,1.4665004,5.0995016,0.6803361,-0.37668037,0.22294044,0.53167856,0.08931102,-5.993648,-0.26146677,-0.33086336,-1.1122073,-0.4956641,-3.0118823,-0.80725044,-2.2513795,-2.5978081,0.64124
6,-0.7251388,-1.4119729,-3.786726,-1.5743911,-4.4797425,-1.2834754,-2.4613574,0.5806351,2.3364844,1.3036435,-1.5621842,-3.6181633,-0.6653317,-3.4883637,-9.6088505,-6.011527,0.9755322,-1.8089054,-0.06256489,-0.6568964,3.660928,0.66412854,-2.4917471,-1.809596,-0.530958,-0.97026986,-5.9660115,-2.5775576,-1.4646732,-1.9488932,-1.4397762,-5.1546626,0.93847835,2.0224571,-4.2376833,3.8399918
7,-0.23428231,-2.236617,-4.111966,-3.485,-3.4556732,-3.2327237,-2.2215064,0.5801731,3.6567786,1.8563348,-1.4655598,-1.9124161,0.008363326,3.11097,-7.694685,-5.949169,-0.92125946,-1.3894653,-0.5344088,-1.8538283,2.4051163,0.9005058,-4.008676,-1.9928275,-0.45610878,-1.3935865,-2.8425713,-3.185893,-1.3058513,-1.7148162,-1.6787006,-4.520489,1.2983059,5.3465652,-3.6490123,5.655418
8,0.3219294,-1.4531434,-3.9149013,-3.5440378,-0.5398423,-4.167858,-0.7499046,1.0977252,4.779659,2.509355,-0.6123224,0.64167374,0.2018152,7.7479777,-3.7441869,-2.139994,-2.656524,-0.65980023,-0.34932312,-3.0161238,0.52778494,-0.72886336,-5.6675916,-0.973468,-0.017526023,-1.3853095,-0.13836178,-2.677005,-0.5883259,-1.2173854,-1.7867804,-2.1466513,0.0052589783,4.7472277,-1.179839,5.8639965
9,0.07926716,-0.92272395,-3.496452,-2.8707826,2.3544564,-3.8452594,-0.20084585,1.603309,4.6611443,2.3453984,-0.27365652,1.7759805,-0.7788041,7.8835254,1.3982495,2.3729236,-3.3276556,-0.5549316,-0.33991078,-4.654953,-1.9673362,-3.8934302,-7.5321674,-0.18121383,-0.05583456,-1.2141724,-0.6059011,-1.948338,-0.3736698,-1.0568175,-1.5413221,-0.04151518,-1.492699,0.5946811,1.491772,4.9410024
10,-0.9840302,-1.8807472,-2.6441672,-2.500483,2.860217,-2.6920896,-1.749857,1.6199423,3.1304407,1.1593368,-1.2379143,0.65439504,-2.2947853,4.5513964,6.531438,4.0094495,-2.3744686,-1.0898064,-0.988502,-6.349781,-4.2350903,-5.9659066,-8.902082,-0.4011897,-0.6834903,-1.0733776,-4.1793866,-1.4858885,-1.1574279,-1.1424736,-0.49219233,0.15496905,-1.7232653,-3.569151,2.5169873,3.468161
11,-2.2432723,-4.035372,-1.0969567,-2.6789129,0.007989301,-1.6235096,-4.6048956,0.9347078,0.7822608,-0.49329937,-3.0548952,-1.7834448,-3.071262,0.98178446,9.337369,1.4922472,-0.3564794,-1.6971684,-2.220691,-7.4012666,-5.569139,-4.872381,-9.046775,-1.2066857,-1.328729,-1.1448395,-8.317213,-1.3036727,-2.4463215,-1.041388,0.97129035,-1.710026,-0.6963504,-4.1863174,1.2178541,1.929985
12,-3.0951605,-6.017923,0.83254135,-3.0254364,-4.66167,-1.4025923,-6.7539473,-0.30981782,-1.5837667,-1.8652823,-4.2936,-3.8182728,-2.4619026,-0.45400488,7.5376434,-3.0229115,1.207296,-1.9993646,-3.5997307,-7.675237,-6.138529,-1.5111228,-7.859209,-1.6414442,-1.4288354,-1.5906892,-10.136903,-1.2679889,-3.1843746,-0.61197054,1.5791092,-4.1990466,0.34709406,-0.86939883,-1.3824768,0.8484735
13,-3.3657176,-6.6166687,2.2523682,-3.14373,-7.9748545,-1.9885588,-6.645916,-1.6568584,-3.3756752,-2.6016474,-3.6662455,-4.2387114,-0.98561895,-0.047249403,1.5135335,-5.5938563,1.0148154,-2.0848513,-4.596341,-7.5031176,-6.6126237,0.99107957,-5.7632875,-1.2672005,-0.9859459,-2.3465097,-8.432855,-1.2619411,-2.6952803,-0.13896835,0.45782498,-5.3535233,0.50664335,3.4152393,-3.2203794,0.75128466
14,-3.1543152,-5.6846,2.4058018,-2.983997,-7.553243,-2.4826298,-4.3359504,-2.552259,-4.2774787,-2.8487074,-1.132743,-2.9506047,0.27552968,0.19065322,-4.6138167,-3.7229345,-0.84571934,-2.0981722,-4.770595,-6.7978244,-7.182911,0.5041882,-3.126104,-0.46285272,-0.45898426,-2.966109,-4.1342535,-1.0899572,-1.3240135,0.15237696,-1.6762803,-4.2037954,0.24333185,5.2744846,-2.556262,1.7944301
