"self_layer","estimate","SE","df","t","p","p_holm","p_fdr"
"somatomotor",0.0290932980966833,0.0198277853269354,9405.99978994709,1.46729942941035,0.142328053194555,0.197592841024261,0.142328053194555
"Interoception",0.0986802334534012,0.0597743145655429,9405.99863503374,1.65088021787682,0.0987964205121303,0.197592841024261,0.13172856068284
"Exteroception",0.134820094649127,0.0495622433786454,9405.99863528514,2.72021775969923,0.00653588104990533,0.0261435241996213,0.0168141237828265
"Cognition",0.165244730824609,0.0626918300096474,9405.99863524305,2.63582560597099,0.00840706189141323,0.0261435241996213,0.0168141237828265
