"roi_pos_id","roi_name","self_layer","n_obs","term","estimate","SE","p_value","status","message","p_fdr"
32,"L_23d_ROI","Cognition",70,"groupverum:sessionses-02",0.394485392535795,0.168178607100029,0.0251552695745067,"ok",NA,0.97054677346418
34,"L_d23ab_ROI","Cognition",70,"groupverum:sessionses-02",0.327324926783284,0.1865905796388,0.0886724650080417,"ok",NA,0.97054677346418
61,"L_a24_ROI","Cognition",70,"groupverum:sessionses-02",0.135551884082071,0.147855633981387,0.365906852582797,"ok",NA,0.972893382150734
68,"L_8Ad_ROI","Cognition",70,"groupverum:sessionses-02",0.102185486373244,0.15985386360635,0.527077514783811,"ok",NA,0.972893382150734
111,"L_AVI_ROI","Cognition",140,"groupverum:sessionses-02",0.310719567683278,0.0931958701135911,0.00119031332798598,"ok",NA,0.0815364629670399
150,"L_PGi_ROI","Cognition",70,"groupverum:sessionses-02",0.0751162283271003,0.143248824805209,0.603521931803123,"ok",NA,0.972893382150734
258,"R_6r_ROI","Cognition",140,"groupverum:sessionses-02",0.0822983869318853,0.0774472709641437,0.290431411130509,"ok",NA,0.972893382150734
260,"R_IFJp_ROI","Cognition",70,"groupverum:sessionses-02",0.274881748016977,0.152186744552599,0.0800129663386896,"ok",NA,0.97054677346418
287,"R_TA2_ROI","Cognition",70,"groupverum:sessionses-02",-0.213091433568477,0.138635192320616,0.133811169452492,"ok",NA,0.972893382150734
330,"R_PGi_ROI","Cognition",70,"groupverum:sessionses-02",0.162975121076871,0.145882894289026,0.271992136062571,"ok",NA,0.972893382150734
50,"L_MIP_ROI","Exteroception",70,"groupverum:sessionses-02",0.309950615277372,0.169331821890537,0.0762295135077897,"ok",NA,0.97054677346418
69,"L_9m_ROI","Exteroception",70,"groupverum:sessionses-02",0.0878017018580984,0.148412935165465,0.558147091307662,"ok",NA,0.972893382150734
109,"L_MI_ROI","Exteroception",70,"groupverum:sessionses-02",0.0135277587388644,0.170769636177218,0.937338916825646,"ok",NA,0.979214350248087
112,"L_AAIC_ROI","Exteroception",70,"groupverum:sessionses-02",0.135489376079487,0.161701882196977,0.40811699334887,"ok",NA,0.972893382150734
117,"L_AIP_ROI","Exteroception",70,"groupverum:sessionses-02",0.215418445295848,0.135962676739097,0.122641798246873,"ok",NA,0.972893382150734
138,"L_PH_ROI","Exteroception",70,"groupverum:sessionses-02",0.20365458003533,0.176985616773923,0.25813213295573,"ok",NA,0.972893382150734
197,"R_IPS1_ROI","Exteroception",70,"groupverum:sessionses-02",0.278652657782121,0.130762952706626,0.0406310795313283,"ok",NA,0.97054677346418
200,"R_LO1_ROI","Exteroception",70,"groupverum:sessionses-02",0.166320661702139,0.193900705646995,0.397210990466806,"ok",NA,0.972893382150734
227,"R_7PC_ROI","Exteroception",70,"groupverum:sessionses-02",0.178559155264504,0.176286765313004,0.318481903100513,"ok",NA,0.972893382150734
228,"R_LIPv_ROI","Exteroception",70,"groupverum:sessionses-02",0.173364875183532,0.136628060597612,0.213360590839371,"ok",NA,0.972893382150734
237,"R_p24pr_ROI","Exteroception",70,"groupverum:sessionses-02",0.0946231748640772,0.16418453530705,0.568307844119067,"ok",NA,0.972893382150734
258,"R_6r_ROI","Exteroception",140,"groupverum:sessionses-02",0.0822983869318853,0.0774472709641437,0.290431411130509,"ok",NA,0.972893382150734
262,"R_IFSa_ROI","Exteroception",70,"groupverum:sessionses-02",0.190151601282885,0.159696720835901,0.242264451088166,"ok",NA,0.972893382150734
289,"R_MI_ROI","Exteroception",70,"groupverum:sessionses-02",-0.213747352793115,0.152104813227754,0.169287663232352,"ok",NA,0.972893382150734
296,"R_PFt_ROI","Exteroception",70,"groupverum:sessionses-02",0.11202883036387,0.175663327436721,0.528038812997267,"ok",NA,0.972893382150734
318,"R_PH_ROI","Exteroception",70,"groupverum:sessionses-02",0.129027046514681,0.151349391126501,0.400075590315864,"ok",NA,0.972893382150734
40,"L_24dd_ROI","Interoception",70,"groupverum:sessionses-02",-0.040325037067758,0.174845424156532,0.819024187577762,"ok",NA,0.972893382150734
53,"L_3a_ROI","Interoception",70,"groupverum:sessionses-02",0.260442433612402,0.116612172869277,0.0324181466624008,"ok",NA,0.97054677346418
78,"L_6r_ROI","Interoception",70,"groupverum:sessionses-02",-0.111776845621599,0.167394158242493,0.508938834676093,"ok",NA,0.972893382150734
106,"L_PoI2_ROI","Interoception",70,"groupverum:sessionses-02",0.251278177432347,0.138964447686449,0.0796937010173618,"ok",NA,0.97054677346418
111,"L_AVI_ROI","Interoception",140,"groupverum:sessionses-02",0.310719567683278,0.0931958701135911,0.00119031332798598,"ok",NA,0.0815364629670399
113,"L_FOP1_ROI","Interoception",70,"groupverum:sessionses-02",0.205147647360504,0.186823665932551,0.280116466191378,"ok",NA,0.972893382150734
120,"L_H_ROI","Interoception",70,"groupverum:sessionses-02",-0.0836620733981345,0.165567712575184,0.616703540843979,"ok",NA,0.972893382150734
243,"R_8BM_ROI","Interoception",70,"groupverum:sessionses-02",0.0941881900826051,0.140110835698526,0.506110379409913,"ok",NA,0.972893382150734
285,"R_PFcm_ROI","Interoception",70,"groupverum:sessionses-02",-0.131824651590469,0.13745168668723,0.344502104590765,"ok",NA,0.972893382150734
288,"R_FOP4_ROI","Interoception",70,"groupverum:sessionses-02",0.331496011158891,0.163765976760276,0.051105705661436,"ok",NA,0.97054677346418
300,"R_H_ROI","Interoception",70,"groupverum:sessionses-02",-0.000200851668189413,0.153518806925624,0.998963989436678,"ok",NA,0.998963989436678
1,"L_V1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.252144614132961,0.244029271686912,0.308997532956757,"ok",NA,0.972893382150734
2,"L_MST_ROI","somatomotor",70,"groupverum:sessionses-02",0.120883737093483,0.2439668325911,0.623536157480328,"ok",NA,0.972893382150734
3,"L_V6_ROI","somatomotor",70,"groupverum:sessionses-02",0.0280088668210537,0.197349872301994,0.888002239894957,"ok",NA,0.972893382150734
4,"L_V2_ROI","somatomotor",70,"groupverum:sessionses-02",0.151745834264054,0.223774963164403,0.502424460095253,"ok",NA,0.972893382150734
