"region","value"
"intero",0.484995216148648
"intero",0.709786929323346
"intero",0.749338972623752
"intero",0.299862780747365
"intero",0.727041589135537
"intero",0.344706428030337
"intero",0.578762006317108
"intero",0.650360693255495
"intero",0.753678294603513
"intero",0.475644294793454
"intero",0.910078412020297
"intero",-0.0182089065146216
"intero",0.339831537938278
"intero",0.267724424442693
"intero",0.512351530070607
"intero",0.501219650911267
"intero",0.532154720269964
"intero",0.520343543588235
"intero",0.544180682308825
"intero",0.677356389757116
"intero",1.06481694508158
"intero",0.508237466241357
"intero",0.339649735448983
"intero",0.397417546803872
"intero",0.499870522131973
"intero",0.388496771724986
"intero",0.413676408304951
"intero",0.81068521910508
"intero",0.289364007394445
"intero",0.793377693915114
"intero",0.0876055214064512
"intero",0.422135897904961
"intero",0.7875574282521
"intero",0.422328459570715
"intero",0.580026507776502
"intero",0.921557529905286
"intero",0.449761437123623
"intero",1.08250271770809
"intero",0.351380267462198
"intero",0.169756688401636
"intero",0.581652523030601
"intero",0.427549087821617
"intero",0.681979561099457
"intero",0.17691685627361
"intero",0.50108478126332
"intero",-0.0109933483195167
"intero",0.1693829808085
"intero",0.256128651910865
"intero",0.615641115258917
"intero",0.464842435016831
"intero",1.13750862868458
"intero",0.64073126694766
"intero",0.435067741856849
"intero",0.65742175416325
"intero",0.844103478103202
"intero",0.309212806884722
"intero",0.315342134834736
"intero",0.209458359191571
"intero",0.768550830022939
"intero",0.515085496538397
"intero",0.598940314919959
"intero",0.355293130339439
"intero",0.684814327550289
"intero",0.57893345200021
"intero",0.672439614655915
"intero",0.297240969812984
"intero",0.881430859518574
"intero",0.878913112680962
"intero",0.360768832368034
"intero",0.645286404208742
"intero",0.283915996360236
"intero",0.308744654971279
"intero",0.199235796880064
"intero",0.833537346914341
"intero",0.750269053339706
"intero",0.304189576659618
"intero",0.272246299222054
"intero",0.543481481867541
"intero",0.651384607769494
"intero",0.684213719513047
"intero",0.852013919992375
"intero",0.708353059222994
"intero",-0.0772117326959094
"intero",0.575521918906918
"intero",0.790181966469142
"intero",0.41869312511776
"intero",0.0704811998479811
"intero",0.648873977273655
"intero",0.637816982016076
"intero",1.13160451276364
"intero",0.447097404348391
"intero",0.971869645718136
"intero",0.648947066254625
"intero",0.198145769723576
"intero",0.300602811747671
"intero",0.788849848105394
"intero",0.401178465284962
"intero",0.496840414794733
"intero",0.448203457343447
"intero",0.410564770103938
"intero",0.469272063959618
"intero",0.801388819719691
"intero",0.652893680541022
"intero",0.303259810747547
"intero",0.362471978837926
"intero",0.645903490569228
"intero",0.59017679712371
"intero",0.657099020190743
"intero",0.690274947484086
"intero",0.24605614822646
"intero",0.48979128678045
"intero",0.746936235619641
"intero",0.626136605639999
"intero",0.388483998158557
"intero",0.670082978108625
"intero",1.02197288274561
"intero",0.528191683559764
"intero",0.249934325731371
"intero",0.485940560602644
"intero",0.554047814272866
"intero",0.235792998572812
"intero",0.46104272568552
"intero",0.480777068807154
"intero",0.136738550348451
"intero",0.0669361029484266
"intero",0.929800233167076
"intero",0.819566814396426
"intero",0.0923569885556743
"intero",0.328545329798194
"intero",0.671549752311713
"intero",0.586035944953906
"intero",0.514561508415336
"intero",0.593752981254593
"intero",-0.0748145739718061
"intero",0.279751435397002
"intero",0.732878962832381
"intero",0.583478412174613
"intero",0.209243456743538
"intero",0.26050374803999
"intero",0.60528452019392
"intero",0.0259394684185176
"intero",0.280435814910939
"intero",0.410603066620331
"intero",0.302556207394973
"intero",0.276322118098871
"intero",0.106314024259809
"intero",0.419942196142147
"intero",0.667580864406795
"intero",0.448011568498692
"intero",0.331778095173254
"intero",0.510734561839456
"intero",0.868123762435866
"intero",0.194315119132848
"intero",0.634111752455412
"intero",0.401889169994748
"intero",0.701876496311955
"intero",0.277057017399055
"intero",0.785061714115537
"intero",0.746613038024652
"intero",0.630755253999699
"intero",0.675675209274475
"intero",0.873226311030561
"intero",0.414832990473424
"intero",0.796686286396635
"intero",0.76858475434137
"intero",0.59913068931709
"intero",0.49908433108966
"intero",0.224156722530001
"intero",0.764091076623743
"intero",0.138954489409478
"intero",0.14955458982846
"intero",0.492508892464631
"intero",0.0181204462718259
"intero",0.514210903356845
"intero",0.41180083653694
"intero",0.334252938389391
"intero",0.487195344057571
"intero",0.4135716367715
"intero",0.365141933165095
"intero",0.564055734636912
"intero",0.398382661622222
"intero",0.596705473560826
"intero",0.496154636836451
"intero",0.952062466227628
"intero",0.371848421091918
"intero",0.688216824392636
"intero",0.45240276411499
"intero",0.186754872567869
"intero",0.330271087244564
"intero",0.937238952588283
"intero",0.740300127894012
"intero",0.22069836920244
"intero",1.0929792400191
"intero",0.859746436401549
"intero",0.423370809721739
"intero",0.457308158722876
"intero",0.23557434931328
"intero",0.513615356571573
"intero",0.392135742315755
"intero",0.306194176677061
"intero",0.494321722173233
"intero",0.747194934193739
"intero",0.889571478003327
"intero",0.233673677243316
"intero",0.177707049283203
"intero",0.726370792633574
"intero",0.565066521253591
"intero",0.214586237796849
"intero",0.419802575790492
"intero",0.53384483009597
"intero",0.613749976675002
"intero",0.533212741478903
"intero",0.377010718025399
"intero",0.542626694807969
"intero",0.700274122786522
"intero",0.469570119619962
"intero",0.468709279657709
"intero",0.286363829004743
"intero",0.39025874982994
"intero",0.755626523819598
"intero",0.930600390806742
"intero",0.434626654879537
"intero",0.722754347806511
"intero",0.564863610973157
"intero",0.469967277556266
"intero",0.382250796878329
"intero",0.842453594239663
"intero",0.735327882055782
"intero",0.382439537176981
"intero",0.870813336011045
"intero",0.647168355691185
"intero",0.357607844459868
"intero",0.69900847026656
"intero",0.330087534934126
"intero",0.905111359361693
"intero",0.957562671689459
"intero",0.464517191830484
"intero",0.409930177219929
"intero",0.657642507810232
"intero",0.257776949733699
"intero",0.656440125644391
"intero",0.542272958128072
"intero",0.420959856177311
"intero",0.743146984876859
"intero",0.46986008211445
"intero",0.676949170353208
"intero",0.417065972988577
"intero",0.657492761456342
"intero",0.438028930721618
"intero",0.681918401291806
"intero",0.712321729894239
"intero",0.332337918207793
"intero",0.347079503457929
"intero",0.423522800046092
"intero",0.345873824792867
"intero",0.607445398867461
"intero",0.740136786287734
"intero",0.488333226495122
"intero",0.545594821386447
"intero",0.516453817269495
"intero",0.304352977231211
"intero",0.398601071581475
"intero",0.426923037869964
"intero",1.012173485935
"intero",0.50075177485119
"intero",0.237382759305713
"intero",0.172928975009016
"intero",0.737608028273144
"intero",0.478487198883048
"intero",0.522193239407741
"intero",0.229926124042244
"intero",0.640082357271949
"intero",0.767301000597393
"intero",0.579091201551977
"intero",0.59633676730326
"intero",0.73765981103089
"intero",0.270803253016211
"intero",0.801178180961018
"intero",0.953863297688297
"intero",0.362849645592599
"intero",0.424264018242849
"intero",0.664220327363131
"intero",0.461439069113218
"intero",0.389819908551811
"intero",0.769092979535875
"intero",0.245934142264081
"intero",0.506443561482261
"intero",0.571522238272076
"intero",0.624347474507387
"intero",0.478191844317499
