"layer","test","n","statistic","p"
"intero","placebo_prepost_pairedt",20,-0.417506798274597,0.680987784873187
"intero","verum_prepost_pairedt",19,0,1
"extero","placebo_prepost_pairedt",20,0.465189113331053,0.647083457465334
"extero","verum_prepost_pairedt",19,3.54474503897027,0.00231481800936872
"mental","placebo_prepost_pairedt",20,0.878392625231402,0.390703935184105
"mental","verum_prepost_pairedt",19,1.22306137249082,0.237078341245422
"visual","placebo_prepost_pairedt",20,2.02370231753805,0.0572959999459774
"visual","verum_prepost_pairedt",19,2.25418135880567,0.0368839972966502
"motor","placebo_prepost_pairedt",20,2.98107796239218,0.00767648426190156
"motor","verum_prepost_pairedt",19,2.01310547660632,0.0593060756430106
"auditory","placebo_prepost_pairedt",20,-0.82539378504954,0.419391372238401
"auditory","verum_prepost_pairedt",19,0.160128153805087,0.874563398905517
"Pooled","baseline_welch_t",39,1.16147415491443,0.253803673723604
"Pooled","baseline_mannwhitney",39,223,0.360178336405453
"Pooled","baseline_cohens_d",39,0.368183388670107,NA
"intero","baseline_welch_t",39,0.234766829896861,0.815686062713987
"intero","baseline_mannwhitney",39,196,0.8587701025904
"intero","baseline_cohens_d",39,0.0750295782991301,NA
"extero","baseline_welch_t",39,1.32285027072266,0.196306007655796
"extero","baseline_mannwhitney",39,213,0.501455945880052
"extero","baseline_cohens_d",39,0.417377672205632,NA
"mental","baseline_welch_t",39,0.790347959034389,0.434510038787047
"mental","baseline_mannwhitney",39,214,0.497847912271378
"mental","baseline_cohens_d",39,0.251708952688085,NA
"visual","baseline_welch_t",39,1.56048409335161,0.130597290026905
"visual","baseline_mannwhitney",39,207.5,0.627960258511726
"visual","baseline_cohens_d",39,0.491069034243526,NA
"motor","baseline_welch_t",39,-0.958047872303769,0.345889294527391
"motor","baseline_mannwhitney",39,169.5,0.538823852618634
"motor","baseline_cohens_d",39,-0.310724666263147,NA
"auditory","baseline_welch_t",39,-0.684033061456584,0.498549526540712
"auditory","baseline_mannwhitney",39,164,0.377745610080409
"auditory","baseline_cohens_d",39,-0.220464140464235,NA
