roi_id,sampen
8,5.263660439708182
9,5.243454036864278
36,5.295233228221942
39,4.612030743919327
41,5.307833265001576
42,5.155830171556526
47,5.034858757211651
51,5.290018846932618
52,5.899659026377443
54,4.426264754702098
55,5.174925682500679
56,4.893301530860564
100,4.94673086014031
101,6.357552004618085
102,4.9835118772114315
115,8.475733430966399
168,6.0696735278068115
188,4.726487076361942
189,5.499845887083206
216,5.523561956057013
219,5.063395081288509
220,6.38887833881199
221,5.114016260291656
222,5.359620384959313
231,5.078002512001273
232,5.503124208664695
233,4.954196310386876
234,5.461156299106758
235,4.497670422924989
236,5.643856189774724
280,5.154428665119144
281,5.977279923499917
282,7.581200581924957
284,6.266786540694902
295,5.8988532765431
348,6.12670447284319
