roi_id,sampen
8,4.449836461856112
9,4.932214751968385
36,4.724237289323284
39,5.001502025165232
41,4.960001932068081
42,4.975315736619403
47,5.082149041353872
51,4.110330244280129
52,4.414186602739351
54,4.097297201354915
55,4.209453365628949
56,4.632715632169524
100,5.478971805032942
101,5.2761244052742375
102,4.966833136064801
115,5.138414028697095
168,5.566815154010897
188,4.528673369874612
189,5.856203182159669
216,5.54916177929331
219,4.591626231002167
220,5.3339007365534385
221,5.1015380264620624
222,4.6119295483214255
231,4.42449782852791
232,4.750021746991653
233,4.640087719958812
234,4.830587228295322
235,4.8465649510618185
236,4.363317551056208
280,4.73809225962049
281,4.939424559756911
282,5.459431618637297
284,6.56071495447448
295,5.359895945086383
348,5.892795765722733
