"category","estimate","SE","df","t","p","p_holm","p_fdr"
"nonself",-0.146879514996615,0.105792874673473,33.4838184918809,-1.38836869165296,0.174192918941649,0.696771675766596,0.694486310387105
"Interoception",0.0202400267639336,0.116719367607098,49.5940574201099,0.173407611597639,0.863036887518448,1,0.863036887518448
"Exteroception",-0.0731413968579624,0.113003236883047,43.5819786416332,-0.647250458264839,0.520864732790329,1,0.694486310387105
"Cognition",-0.0764346638502233,0.117883790776079,51.5987966980074,-0.648389938489603,0.519607986127576,1,0.694486310387105
