subject	session	layer	n_rois	n_timepoints	status	elapsed_sec	timestamp
sub-07	ses-02	Visual	55	240	DONE	7.0	2026-06-22T10:47:45
sub-07	ses-02	Motor	36	240	DONE	7.0	2026-06-22T10:47:45
sub-07	ses-02	Auditory	14	240	DONE	7.0	2026-06-22T10:47:45
sub-09	ses-01	Interoception	11	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Exteroception	14	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Cognition	12	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Visual	55	240	DONE	7.0	2026-06-22T10:47:52
sub-09	ses-01	Motor	36	240	DONE	7.1	2026-06-22T10:47:52
sub-09	ses-01	Auditory	14	240	DONE	7.1	2026-06-22T10:47:52
sub-09	ses-02	Interoception	11	240	DONE	6.4	2026-06-22T10:47:59
sub-09	ses-02	Exteroception	14	240	DONE	6.4	2026-06-22T10:47:59
sub-09	ses-02	Cognition	12	240	DONE	6.4	2026-06-22T10:47:59
sub-09	ses-02	Visual	55	240	DONE	6.5	2026-06-22T10:47:59
sub-09	ses-02	Motor	36	240	DONE	6.5	2026-06-22T10:47:59
sub-09	ses-02	Auditory	14	240	DONE	6.5	2026-06-22T10:47:59
sub-10	ses-01	Interoception	11	240	DONE	6.8	2026-06-22T10:48:06
sub-10	ses-01	Exteroception	14	240	DONE	6.8	2026-06-22T10:48:06
sub-10	ses-01	Cognition	12	240	DONE	6.8	2026-06-22T10:48:06
sub-10	ses-01	Visual	55	240	DONE	6.8	2026-06-22T10:48:06
sub-10	ses-01	Motor	36	240	DONE	6.9	2026-06-22T10:48:06
sub-10	ses-01	Auditory	14	240	DONE	6.9	2026-06-22T10:48:06
sub-10	ses-02	Interoception	11	240	DONE	7.6	2026-06-22T10:48:13
sub-10	ses-02	Exteroception	14	240	DONE	7.6	2026-06-22T10:48:13
sub-10	ses-02	Cognition	12	240	DONE	7.6	2026-06-22T10:48:13
sub-10	ses-02	Visual	55	240	DONE	7.6	2026-06-22T10:48:13
sub-10	ses-02	Motor	36	240	DONE	7.7	2026-06-22T10:48:14
sub-10	ses-02	Auditory	14	240	DONE	7.7	2026-06-22T10:48:14
sub-11	ses-01	Interoception	11	240	DONE	6.5	2026-06-22T10:48:20
sub-11	ses-01	Exteroception	14	240	DONE	6.5	2026-06-22T10:48:20
sub-11	ses-01	Cognition	12	240	DONE	6.5	2026-06-22T10:48:20
sub-11	ses-01	Visual	55	240	DONE	6.6	2026-06-22T10:48:20
sub-11	ses-01	Motor	36	240	DONE	6.6	2026-06-22T10:48:20
sub-11	ses-01	Auditory	14	240	DONE	6.6	2026-06-22T10:48:20
sub-11	ses-02	Interoception	11	240	DONE	6.8	2026-06-22T10:48:27
sub-11	ses-02	Exteroception	14	240	DONE	7.0	2026-06-22T10:48:27
sub-11	ses-02	Cognition	12	240	DONE	7.0	2026-06-22T10:48:27
sub-11	ses-02	Visual	55	240	DONE	7.1	2026-06-22T10:48:27
sub-11	ses-02	Motor	36	240	DONE	7.1	2026-06-22T10:48:27
sub-11	ses-02	Auditory	14	240	DONE	7.1	2026-06-22T10:48:27
sub-13	ses-01	Interoception	11	240	DONE	6.6	2026-06-22T10:48:34
sub-13	ses-01	Exteroception	14	240	DONE	6.6	2026-06-22T10:48:34
sub-13	ses-01	Cognition	12	240	DONE	6.6	2026-06-22T10:48:34
sub-13	ses-01	Visual	55	240	DONE	6.7	2026-06-22T10:48:34
sub-13	ses-01	Motor	36	240	DONE	6.7	2026-06-22T10:48:34
sub-13	ses-01	Auditory	14	240	DONE	6.7	2026-06-22T10:48:34
sub-13	ses-02	Interoception	11	240	DONE	6.4	2026-06-22T10:48:40
sub-13	ses-02	Exteroception	14	240	DONE	6.4	2026-06-22T10:48:40
sub-13	ses-02	Cognition	12	240	DONE	6.4	2026-06-22T10:48:40
sub-13	ses-02	Visual	55	240	DONE	6.4	2026-06-22T10:48:40
sub-13	ses-02	Motor	36	240	DONE	6.5	2026-06-22T10:48:40
sub-13	ses-02	Auditory	14	240	DONE	6.5	2026-06-22T10:48:40
sub-14	ses-01	Interoception	11	240	DONE	7.5	2026-06-22T10:48:48
sub-14	ses-01	Exteroception	14	240	DONE	7.5	2026-06-22T10:48:48
sub-14	ses-01	Cognition	12	240	DONE	7.5	2026-06-22T10:48:48
sub-14	ses-01	Visual	55	240	DONE	7.5	2026-06-22T10:48:48
sub-14	ses-01	Motor	36	240	DONE	7.6	2026-06-22T10:48:48
sub-14	ses-01	Auditory	14	240	DONE	7.6	2026-06-22T10:48:48
sub-14	ses-02	Interoception	11	240	DONE	7.0	2026-06-22T10:48:55
sub-14	ses-02	Exteroception	14	240	DONE	7.0	2026-06-22T10:48:55
sub-14	ses-02	Cognition	12	240	DONE	7.0	2026-06-22T10:48:55
sub-14	ses-02	Visual	55	240	DONE	7.0	2026-06-22T10:48:55
sub-14	ses-02	Motor	36	240	DONE	7.1	2026-06-22T10:48:55
sub-14	ses-02	Auditory	14	240	DONE	7.1	2026-06-22T10:48:55
sub-15	ses-01	Interoception	11	240	DONE	7.2	2026-06-22T10:49:02
sub-15	ses-01	Exteroception	14	240	DONE	7.2	2026-06-22T10:49:02
sub-15	ses-01	Cognition	12	240	DONE	7.2	2026-06-22T10:49:02
sub-15	ses-01	Visual	55	240	DONE	7.2	2026-06-22T10:49:02
sub-15	ses-01	Motor	36	240	DONE	7.3	2026-06-22T10:49:02
sub-15	ses-01	Auditory	14	240	DONE	7.3	2026-06-22T10:49:02
sub-15	ses-02	Interoception	11	240	DONE	6.5	2026-06-22T10:49:09
sub-15	ses-02	Exteroception	14	240	DONE	6.5	2026-06-22T10:49:09
sub-15	ses-02	Cognition	12	240	DONE	6.5	2026-06-22T10:49:09
sub-15	ses-02	Visual	55	240	DONE	6.6	2026-06-22T10:49:09
sub-15	ses-02	Motor	36	240	DONE	6.6	2026-06-22T10:49:09
sub-15	ses-02	Auditory	14	240	DONE	6.6	2026-06-22T10:49:09
sub-16	ses-01	Interoception	11	240	DONE	6.8	2026-06-22T10:49:16
sub-16	ses-01	Exteroception	14	240	DONE	6.8	2026-06-22T10:49:16
sub-16	ses-01	Cognition	12	240	DONE	6.8	2026-06-22T10:49:16
sub-16	ses-01	Visual	55	240	DONE	7.0	2026-06-22T10:49:16
sub-16	ses-01	Motor	36	240	DONE	7.0	2026-06-22T10:49:16
sub-16	ses-01	Auditory	14	240	DONE	7.1	2026-06-22T10:49:16
sub-16	ses-02	Interoception	11	240	DONE	6.6	2026-06-22T10:49:23
sub-16	ses-02	Exteroception	14	240	DONE	6.6	2026-06-22T10:49:23
sub-16	ses-02	Cognition	12	240	DONE	6.6	2026-06-22T10:49:23
sub-16	ses-02	Visual	55	240	DONE	6.6	2026-06-22T10:49:23
sub-16	ses-02	Motor	36	240	DONE	6.7	2026-06-22T10:49:23
sub-16	ses-02	Auditory	14	240	DONE	6.7	2026-06-22T10:49:23
sub-17	ses-01	Interoception	11	240	DONE	6.5	2026-06-22T10:49:29
sub-17	ses-01	Exteroception	14	240	DONE	6.7	2026-06-22T10:49:30
sub-17	ses-01	Cognition	12	240	DONE	6.7	2026-06-22T10:49:30
sub-17	ses-01	Visual	55	240	DONE	6.8	2026-06-22T10:49:30
sub-17	ses-01	Motor	36	240	DONE	6.8	2026-06-22T10:49:30
sub-17	ses-01	Auditory	14	240	DONE	6.8	2026-06-22T10:49:30
sub-17	ses-02	Interoception	11	240	DONE	6.6	2026-06-22T10:49:36
sub-17	ses-02	Exteroception	14	240	DONE	6.6	2026-06-22T10:49:36
sub-17	ses-02	Cognition	12	240	DONE	6.6	2026-06-22T10:49:36
sub-17	ses-02	Visual	55	240	DONE	6.7	2026-06-22T10:49:36
sub-17	ses-02	Motor	36	240	DONE	6.7	2026-06-22T10:49:36
sub-17	ses-02	Auditory	14	240	DONE	6.7	2026-06-22T10:49:36
sub-18	ses-01	Interoception	11	240	DONE	6.4	2026-06-22T10:49:43
sub-18	ses-01	Exteroception	14	240	DONE	6.4	2026-06-22T10:49:43
sub-18	ses-01	Cognition	12	240	DONE	6.4	2026-06-22T10:49:43
sub-18	ses-01	Visual	55	240	DONE	6.5	2026-06-22T10:49:43
sub-18	ses-01	Motor	36	240	DONE	6.5	2026-06-22T10:49:43
sub-18	ses-01	Auditory	14	240	DONE	6.5	2026-06-22T10:49:43
sub-18	ses-02	Interoception	11	240	DONE	7.0	2026-06-22T10:49:50
sub-18	ses-02	Exteroception	14	240	DONE	7.0	2026-06-22T10:49:50
sub-18	ses-02	Cognition	12	240	DONE	7.0	2026-06-22T10:49:50
sub-18	ses-02	Visual	55	240	DONE	7.0	2026-06-22T10:49:50
sub-18	ses-02	Motor	36	240	DONE	7.1	2026-06-22T10:49:50
sub-18	ses-02	Auditory	14	240	DONE	7.1	2026-06-22T10:49:50
sub-19	ses-01	Interoception	11	240	DONE	6.3	2026-06-22T10:49:56
sub-19	ses-01	Exteroception	14	240	DONE	6.3	2026-06-22T10:49:56
sub-19	ses-01	Cognition	12	240	DONE	6.3	2026-06-22T10:49:56
sub-19	ses-01	Visual	55	240	DONE	6.4	2026-06-22T10:49:56
sub-19	ses-01	Motor	36	240	DONE	6.4	2026-06-22T10:49:56
sub-19	ses-01	Auditory	14	240	DONE	6.4	2026-06-22T10:49:56
sub-19	ses-02	Interoception	11	240	DONE	7.0	2026-06-22T10:50:03
sub-19	ses-02	Exteroception	14	240	DONE	7.0	2026-06-22T10:50:03
sub-19	ses-02	Cognition	12	240	DONE	7.0	2026-06-22T10:50:03
sub-19	ses-02	Visual	55	240	DONE	7.0	2026-06-22T10:50:03
sub-19	ses-02	Motor	36	240	DONE	7.1	2026-06-22T10:50:03
sub-19	ses-02	Auditory	14	240	DONE	7.1	2026-06-22T10:50:03
sub-20	ses-01	Interoception	11	240	DONE	6.3	2026-06-22T10:50:10
sub-20	ses-01	Exteroception	14	240	DONE	6.4	2026-06-22T10:50:10
sub-20	ses-01	Cognition	12	240	DONE	6.4	2026-06-22T10:50:10
sub-20	ses-01	Visual	55	240	DONE	6.4	2026-06-22T10:50:10
sub-20	ses-01	Motor	36	240	DONE	6.4	2026-06-22T10:50:10
sub-20	ses-01	Auditory	14	240	DONE	6.5	2026-06-22T10:50:10
sub-20	ses-02	Interoception	11	240	DONE	6.8	2026-06-22T10:50:17
sub-20	ses-02	Exteroception	14	240	DONE	6.8	2026-06-22T10:50:17
sub-20	ses-02	Cognition	12	240	DONE	6.8	2026-06-22T10:50:17
sub-20	ses-02	Visual	55	240	DONE	6.9	2026-06-22T10:50:17
sub-20	ses-02	Motor	36	240	DONE	6.9	2026-06-22T10:50:17
sub-20	ses-02	Auditory	14	240	DONE	6.9	2026-06-22T10:50:17
sub-21	ses-01	Interoception	11	240	DONE	6.4	2026-06-22T10:50:23
sub-21	ses-01	Exteroception	14	240	DONE	6.5	2026-06-22T10:50:23
sub-21	ses-01	Cognition	12	240	DONE	6.5	2026-06-22T10:50:23
sub-21	ses-01	Visual	55	240	DONE	6.5	2026-06-22T10:50:23
sub-21	ses-01	Motor	36	240	DONE	6.6	2026-06-22T10:50:23
sub-21	ses-01	Auditory	14	240	DONE	6.6	2026-06-22T10:50:23
sub-21	ses-02	Interoception	11	240	DONE	6.6	2026-06-22T10:50:30
sub-21	ses-02	Exteroception	14	240	DONE	6.8	2026-06-22T10:50:30
sub-21	ses-02	Cognition	12	240	DONE	7.0	2026-06-22T10:50:30
sub-21	ses-02	Visual	55	240	DONE	7.0	2026-06-22T10:50:30
sub-21	ses-02	Motor	36	240	DONE	7.1	2026-06-22T10:50:30
sub-21	ses-02	Auditory	14	240	DONE	7.1	2026-06-22T10:50:30
