roi_pos_id,sampen
1,3.149363678959996
2,4.540293451387428
3,3.608596157224891
4,2.9233546973006597
5,2.806748620287433
6,3.0947882478875863
7,3.7240265384587077
8,2.8860199805875775
9,2.6914509349138376
10,2.9044380747613943
11,4.142241442756598
12,3.2240975332721855
13,3.188082730203881
14,4.075843757983506
15,4.049630767724601
16,3.552616224104711
17,4.224690804873204
18,3.646309753360807
19,3.594093512473285
20,3.938202401517226
21,3.7750142020153863
22,3.5793857831437217
23,3.782739622803356
24,4.0556323069812334
25,3.128000051061493
26,3.0734621619410207
27,3.636187824076329
28,3.6709959402486105
29,4.363853958655066
30,3.8751381163240897
31,4.321928094887363
33,4.224732559790964
35,4.175031891875402
36,3.6212648013075057
37,3.8863062634524264
38,3.787807947131773
39,2.7261588392096234
41,3.4564702182661904
42,2.8490944304122854
43,3.098924232541173
44,2.808132445677011
45,3.3447199597606048
46,3.5090935464185065
47,3.128655166768572
48,3.2368269582359743
49,3.061879447586678
51,2.4866353870586555
52,3.060204634205916
54,2.6021121236546922
55,2.7867691500868204
56,2.452402322749102
57,3.420124995540082
58,4.36870486555681
59,3.9042888004202383
60,3.68304017006421
62,3.12517930536934
63,3.63890130783196
64,3.6282156986750396
65,3.8073549220576046
66,2.9992388841601954
67,3.1828640571498106
70,2.8141267055381447
71,3.698853467249141
72,1.6941749721107804
73,3.180054686877207
74,3.2495195993593122
75,3.430222044485734
76,2.8674627291434143
77,0.4401459478693754
79,4.0259018634427575
80,3.786293306529774
81,3.739848102699328
82,3.1529519228385987
83,3.3809221418444104
84,3.634593268445757
86,3.5431423250265293
87,3.2291207939502127
88,2.462663296654677
89,0.5422290294212255
90,1.0656112905429744
91,2.3431836549274134
92,3.5565678575310162
93,1.9082403805573354
94,3.18155032656194
95,3.4584145618162623
96,2.8749425207229775
97,3.6438561897747253
98,3.8446958340011745
99,3.533484244417975
100,3.3140373092678974
101,3.914883386362049
102,3.1323170770346
103,5.059923817652058
104,3.9577717646107025
105,3.7541748841984295
107,3.443566771030535
108,3.826548487290915
114,4.168102265835495
115,3.758610588206186
116,3.3534332848125854
119,3.5545888516776376
121,3.8788080536404785
123,2.915967747320288
124,3.5346574188730906
125,2.818056464243908
126,3.4102839693082094
127,4.316766389771583
128,3.505811553919594
129,4.410632320158842
130,3.366905003605746
131,0.42798155133840216
133,3.1504674945338245
134,1.1354494032952442
135,2.0013852089790913
136,2.983577161961126
137,3.3843301633965783
139,3.8600239905705447
140,2.728905824372255
141,3.5675454476437465
142,3.694766509725898
143,3.4393856764355393
144,4.023083613113042
145,3.272670563609869
146,3.4802651220544627
147,2.4661487135580753
148,3.812990456727037
149,3.599422435392686
151,3.439285045525521
152,3.7079019505068205
153,4.111508315216991
154,3.3373033207742786
155,3.993724674573513
156,3.3501775716915363
157,3.4105220181563514
158,3.928245635663904
159,3.562709693874029
160,4.096573259695053
161,4.541146268428667
162,4.609346659348115
163,3.4115408256601474
164,4.241959790183947
165,4.012174713946102
166,2.991913535287564
167,3.5501970825604796
168,3.4491306979472522
169,2.775804980475737
170,2.7239472310086863
171,3.0438359088500815
172,-0.0
173,4.112391237546194
174,3.62935662007961
175,3.259292004147977
176,3.9371731625445614
177,2.3711215926567517
178,3.8654989644115885
179,3.455451767724752
180,3.335330799489851
181,3.102447268970818
182,3.76776629366156
183,3.503747807135994
184,3.0440139124671006
185,2.954196310386875
186,3.1116060422308047
187,3.947893569733893
188,2.140233316505507
189,2.763682932541986
190,3.2610395073048473
191,3.588520320134345
192,2.837204849804164
193,3.2384612723700474
194,4.291915525820923
195,4.109917692078035
196,3.4914255677916852
198,3.3183614798671703
199,4.023754353299417
201,3.720055815656124
202,3.2332654702187615
203,3.3616378046893334
204,3.4639784079062066
205,2.478138858702361
206,3.28194547742201
207,4.28203536776385
208,2.650534092047838
209,4.142444265020205
210,4.265683984247743
211,4.385862400641461
212,4.06177619758669
213,4.563158130402808
214,4.374016606035817
215,3.8967307293882967
216,2.9093546355599997
217,3.9823269120188267
218,3.480755387446344
219,2.6449584654230662
220,3.3240174436100896
221,3.4572621520015803
222,3.117959629918086
223,3.1787488518293188
224,2.860171620501052
225,3.412329906915352
226,3.5571878346195516
229,2.8928091657611934
230,3.434231064512155
231,2.1766665793213678
232,2.703738816402186
233,3.5271273119002764
234,2.635053548737379
235,3.076815597050831
236,2.8908199023948375
238,4.044394119358453
239,3.7083449162264386
240,3.7489382358322825
241,4.016913382936346
242,3.6509833315854223
244,3.649552295164147
245,4.837943241891027
246,3.3585865654662106
247,2.359895945086383
248,2.768224311335526
249,3.507283136899281
250,2.903570237316907
251,2.62659698942912
252,3.054553379267869
253,3.539543375961938
254,3.485652795537982
255,3.0666973323716333
256,2.736490945357553
257,1.668949588626409
259,3.569989993784996
261,3.646162657157894
263,3.2911349413417597
264,3.3886323759709045
265,2.967219617098184
266,3.211224630481143
267,2.496506273050732
268,2.037384367595159
269,2.6755650495020626
270,1.5812225244442049
271,2.658176896116111
272,2.8004685364723643
273,2.139917126211726
274,3.1883035307571665
275,3.3801921068926477
276,3.022275713373734
277,3.5065211461185104
278,3.40821623342283
279,3.3705350003206784
280,3.4613878156026234
281,4.006426269159434
282,3.349201025037466
283,4.916476644437717
284,3.6258827560344655
286,3.0676794045007867
290,4.157297393114563
291,3.53605290024021
292,3.7460528447887067
293,3.7821543679324616
294,4.375794966866098
295,3.5757858543461802
297,3.382333334206138
298,2.97192971733601
299,3.935319003935036
301,4.6946881023867
302,1.732875807549022
303,3.6336885405375776
304,3.598920958311076
305,3.366985369872703
306,4.173192715276223
307,4.098489863399363
308,3.627200788298405
309,3.7889550837256247
310,3.3995854232427996
311,1.46905633616786
312,2.6662626028230045
313,2.9780852235715596
314,1.4630187218001456
315,1.886115964157909
316,3.123263562678186
317,3.7120744186244954
319,3.7880543660986676
320,2.9687851293344614
321,3.812914447399505
322,3.550340114835508
323,3.4443020937840387
324,3.558856609381691
325,3.1873643846184088
326,3.3166914465212156
327,3.72591332608956
328,2.989946335336077
329,3.1267757652751658
331,3.1649689847482168
332,3.6378324021469552
333,3.6085861052470554
334,3.73438705006443
335,3.8744691179161412
336,3.364120530948108
337,3.3340555736923996
338,3.5264540954302968
339,3.5088801078903273
340,3.9744145898055274
341,4.521050736900963
342,4.6622868951819125
343,3.2965515319865695
344,4.112700132749363
345,3.814285415966221
346,3.575522804834851
347,3.768343782642896
348,3.5153989069213014
349,3.3668364523695593
350,2.190138222331821
351,4.054232311683706
352,-0.0
353,3.892832554621024
354,3.5887146355822637
355,2.619691530836156
356,3.5545888516776376
357,2.604344610773059
358,4.284541678997254
359,4.01554514462463
360,3.5790570686487166
