roi_pos_id,sampen
32,4.721099188707185
34,4.971543553950773
40,3.912080151711082
50,3.1516974053326896
53,4.015415052386688
61,4.9043573288629965
68,3.663382157453076
69,3.991468366378883
78,3.4875141606053375
85,4.047628862957755
106,4.077003069605301
109,3.7998681639955816
110,4.936357504549187
111,3.7922236534364417
112,4.484798338795724
113,3.540154705362481
117,3.26247424467712
118,4.199479895687691
120,4.536052900240209
122,3.8569221363344344
132,3.583439867291282
138,3.8073549220576046
150,3.8826430493618416
197,3.4483053806569175
200,4.541096615349525
227,3.5871871658356698
228,3.3775546115828896
237,5.093511885923145
243,3.7407571733285803
258,4.547160468008772
260,4.079434467494405
262,4.227410496103072
285,3.9520467767770726
287,4.837943241891027
288,4.096140732322336
289,4.118394700802231
296,3.3180757693917555
300,4.099324737803643
318,4.0181800160650205
330,3.860992885659678
