roi_id,sampen
1,4.855906666889714
2,5.795596951181433
3,6.244760234364903
4,5.313580752173842
5,5.468769483216634
6,5.646258679990029
7,5.621005250646688
8,4.716413354348833
9,5.531381460516312
10,5.669851398307669
11,5.192018772292929
