Timepoint,1,2,3,4,5,6,7,8,9,10,11
0,3.2134633660316467,1.9658069409886185,-1.1532539038025602,-4.531138366582442,-2.066164890114142,2.3337708008000435,-1.5893068298393367,-0.5743973170007978,6.6471622914684065,3.7885773972589143,-0.7980118786193886
1,1.1433794619325472,-1.9053274539052223,-3.749563911739661,-1.2497136024188022,-0.135256755108736,0.9149668537536446,-0.3301730852346031,-0.4578087292611599,4.37019329533285,-1.144103402081801,-0.7437001472833206
2,-1.6187032442920062,-5.265356694557229,-4.935085489585692,1.9001865963242492,1.921811769203264,-3.312000187075868,-0.13231730875464118,0.20534631792379884,-0.0979374419061505,-6.882909183599511,-2.092887284196153
3,-3.578472707952772,-5.8835484890305265,-4.167199701678996,3.433010326356304,3.255859398112005,-6.759644129446575,-2.514102604924416,1.5258798389410486,-4.289597519198242,-8.652511510009669,-3.765524860699566
4,-4.024981509666054,-3.3871534345101337,-2.727607326239956,3.795192627426313,4.82110617385835,-5.465451690007229,-6.446126654744148,3.382609394692569,-6.347306447369712,-4.188076398810562,-3.83969806089085
5,-3.4934848899743995,0.3722244276075947,-2.343979623852944,4.383252532506476,8.060065556545647,0.841657231675879,-9.135988797916442,5.379221436320519,-6.27327140177391,4.007565590800072,-1.4417602109665772
6,-2.9957109154487145,2.7270468242314396,-3.186090100784691,5.596998035907745,12.224849132250766,7.80368621252021,-8.568307501320936,6.779254567258212,-5.316186693249916,10.462579076387444,2.1214074906037776
7,-2.8354914601968257,2.1947619182114697,-3.4395679072762024,6.148899463366489,13.665747360915553,10.05974156253648,-5.2216339458008205,6.606724789556192,-4.359651375181821,11.126413295159535,4.2636913401739935
8,-2.268656381843041,-0.5082576268789719,-1.1777256556919642,4.485022378211119,8.799550920116658,6.200874411329931,-1.316157737556769,4.168164860837313,-3.1324822157621384,6.479619528566088,3.386575439697778
9,-0.3990797436967188,-3.087093630615546,3.222949950138525,0.8340781437499183,-1.6406243698937553,0.1336163318887049,1.4350074730357345,-0.1368520530510922,-1.0234706039939607,0.6979604767901557,0.41995177767714675
10,2.5997557640075684,-3.2827270024323036,6.736762140478406,-2.4113494668688094,-11.649013184771245,-2.694025941041051,3.137941663362542,-4.427250085968752,1.594944753208939,-2.1425379323107854,-1.8892087719726318
11,5.236088133207997,-0.2971128432118163,6.153302971197634,-2.6340180805751254,-14.220803046104859,-0.5422302651770261,4.879623259816851,-6.130017474445761,3.25678844719517,-1.2502444933871835,-1.3774029795004397
12,5.776641717750807,4.744873521621434,1.2128630931280098,0.5366022404359312,-7.506831361322987,3.1940524578094482,6.974111915242915,-3.8225006850398318,2.8595654307579506,1.0060633842130096,1.626866071808095
13,3.680467975991113,9.347315038953509,-4.672873102888769,4.698383783655507,3.0177673975727997,3.8456019966349917,8.440181395229029,1.2093512406762765,1.1468193993276479,1.9354705062447761,4.637903750855095
14,0.06488864154231791,10.844968280013727,-7.077059797486481,6.727848027129562,8.939218178087351,0.6004177891478246,8.261894662769473,5.316895567222821,0.3974634757151409,1.0635464572898892,5.2584708505595215
15,-3.1807270536617356,7.788912565732489,-4.325780380669297,5.488419826541628,6.153535811268553,-2.5115054242160855,6.7867262740524446,5.036123710323353,2.300104925827104,0.037703277809279304,3.251588858207878
16,-4.765933489312931,0.9417904220065292,1.0440253597133013,2.603231799845793,-1.726780146968608,-0.9240422346154038,5.416958106748227,0.07201088767270653,6.031132036325883,0.40105076324270694,0.5806827970153216
17,-4.664976050050891,-6.786487308691959,4.463382245326529,0.6069977490269408,-7.028253985910999,5.309526911803654,4.834866228152294,-5.9262226892977345,8.604900186311225,1.7646200015228621,-0.4994928289432915
18,-3.707642764461284,-11.78331309435319,3.1490104697188555,0.37206651483263287,-5.216895458649616,10.9854392543131,3.9401580873800786,-7.9520275665789235,7.403253790067167,2.2214807940989125,0.5581304169431025
19,-2.7382750705796846,-11.934826532188726,-1.8017441861483516,0.3804065104649991,1.226450960246884,10.610159479841894,1.0698530613159647,-3.8265111999852315,2.561096698115817,0.39330542634944526,2.3240710974347834
20,-2.1678657571271973,-8.088331238955867,-6.628134646890115,-1.4704563015577745,5.762436893673575,3.80851732954687,-3.6035607980222117,3.5530747597923082,-3.0910556058646463,-3.1032649120505975,2.9473981235404403
21,-2.0778829011381887,-3.4920084393602244,-8.010402032307216,-5.387440474665895,4.3931328362348125,-4.224947730345385,-7.325426251912604,8.16182527980026,-6.489830257941265,-6.212639223556129,1.926138471431878
22,-2.409835540214363,-1.4178626888564654,-5.2837410252921435,-9.073385013609517,-0.6462817692711037,-7.709990572716508,-7.051569660707396,5.70778310603025,-6.848421799285071,-7.317179166607331,0.4059671333857945
23,-2.895703990848697,-2.7814356979666925,-0.2857761365333002,-9.702688713462985,-3.4943826800706437,-5.6590380110606855,-2.8118600100278854,-2.6317841766440138,-5.883107690178618,-6.502992887277992,-0.15432043343174215
24,-2.971150209100879,-5.724040499755314,4.353071957218404,-6.652556278267685,-0.6565613632223436,-2.296031294580625,1.4645341890816557,-10.936723254164871,-5.740900464203893,-5.106848777556906,0.47489097014981874
25,-2.1054763021517773,-7.463291615247726,6.719617096745238,-2.3685875255234388,5.627608540106793,-2.320519289191888,1.0899679399266535,-13.28481621827398,-6.833181367844952,-4.263529789691069,1.092557133156426
26,-0.44053536775160806,-6.6884742683293865,6.101062087684261,-0.4340613105296328,9.7060258485833,-6.053114743257056,-4.913892905931084,-8.485799131344775,-7.693909309044177,-4.042319751515681,0.3617379716312399
27,0.9889417156881216,-4.336779751339737,2.920867401726392,-2.473644266931378,7.8861707838214175,-9.421981629364344,-12.40326432792508,-0.7338665450105861,-6.793818864287163,-3.8994657907977093,-1.7412636511179866
28,0.9866383100042537,-2.2198989330505836,-1.270376788110149,-6.5984472364795455,1.5357251045655231,-8.583626328682413,-15.471580055295204,4.265866747163996,-4.2803795502654145,-3.6734132584260433,-3.7986714693964743
29,-0.5899314162682514,-1.0803407065722408,-4.02815204524264,-8.775330829377078,-4.727400913530467,-4.183407934952755,-11.658903961278954,4.109414347352422,-1.8494758575546497,-3.8582917172081617,-4.285836374729263
30,-2.3458480682908274,-0.1108415686544411,-3.1287527619575966,-6.024482904648294,-7.465023159980774,-0.7784119005105934,-4.121215353206712,1.1520316144641565,-1.0012724163885018,-4.838991028921945,-3.045464243207659
31,-2.3281121913875853,1.691413164138794,1.7120629062457962,1.131845520619227,-7.008395859781577,-2.0747072307430967,1.3203677045447486,-0.4209230627332415,-1.571141460112163,-6.02301974077614,-1.4337940532333997
32,0.2267042072299792,3.9857547787987455,8.008192958424287,8.878380093039299,-6.106062620574114,-6.952025628819758,1.434785002956585,1.1657424268065666,-2.0062953245883084,-5.97595755284538,-0.9916569395560999
