roi_id,sampen
8,3.6490928381408723
9,4.063193826487194
36,4.2456925090602775
39,4.7687596767450255
41,3.991132762245778
42,4.048468709634476
47,4.0392416315928505
51,3.7499212492701193
52,4.153129758899334
54,3.5372657586898595
55,4.039528364186637
56,3.915111102413487
100,4.177327249804916
101,3.798531071670598
102,3.460480470040011
115,3.2215188548302605
168,4.160543765148003
188,4.009389959030245
189,4.161609733230309
216,4.261667570069888
219,4.20163386116965
220,4.239305804272795
221,3.6206902051956824
222,3.743866096072217
231,4.072802534544207
232,3.940340789332282
233,4.454378390911011
234,3.6457573915094157
235,3.564378168565064
236,4.688833098493109
280,4.593840652067609
281,4.228049047884462
282,4.769202099098424
284,4.020547377404085
295,3.688877073042861
348,4.282399730700725
