"layer","detrend_raw_full_p","detrend_raw_full_q","detrend_raw_iqr_p","detrend_raw_iqr_q","detrend_resid_full_p","detrend_resid_full_q","detrend_resid_iqr_p","detrend_resid_iqr_q","glm_raw_full_p","glm_raw_full_q","glm_raw_iqr_p","glm_raw_iqr_q","glm_resid_full_p","glm_resid_full_q","glm_resid_iqr_p","glm_resid_iqr_q","maximal_raw_full_p","maximal_raw_full_q","maximal_raw_iqr_p","maximal_raw_iqr_q","maximal_resid_full_p","maximal_resid_full_q","maximal_resid_iqr_p","maximal_resid_iqr_q"
"visual",0.2858,0.4055,0.2858,0.8762,0.2559,0.317,0.4181,0.731,0.4221,0.6331,0.2438,0.4624,0.7591,0.807,0.9675,0.9675,0.3215,0.9083,0.5521,0.9469,0.3123,0.5517,0.3123,0.3747
"auditory",0.4055,0.4055,0.7535,0.9042,0.3411,0.3411,0.6483,0.731,0.2397,0.6141,0.1434,0.45,0.3015,0.5807,0.2993,0.5825,0.7569,0.9083,0.9433,0.9469,0.974,0.974,0.1773,0.3054
"motor",0.1511,0.4055,0.4932,0.8762,0.1537,0.3074,0.4966,0.731,0.3071,0.6141,0.3083,0.4624,0.3872,0.5807,0.3884,0.5825,0.5073,0.9083,0.7576,0.9469,0.287,0.5517,0.1925,0.3054
"extero",0.3474,0.4055,0.5841,0.8762,0.2642,0.317,0.731,0.731,0.9215,0.9215,0.6006,0.6645,0.807,0.807,0.8973,0.9675,0.4564,0.9083,0.454,0.9469,0.4598,0.5517,0.1739,0.3054
"intero",0.3464,0.4055,0.9074,0.9074,0.147,0.3074,0.2786,0.731,0.1505,0.6141,0.15,0.45,0.0848,0.5087,0.1597,0.5825,0.9474,0.9474,0.9469,0.9469,0.3765,0.5517,0.3812,0.3812
"mental",0.1119,0.4055,0.3803,0.8762,0.069,0.3074,0.135,0.731,0.6615,0.7938,0.6645,0.6645,0.3529,0.5807,0.349,0.5825,0.6757,0.9083,0.6735,0.9469,0.1987,0.5517,0.2036,0.3054
