"metric","atlas","pipeline","layer","effect","ci_low","ci_high","sd_verum","sd_placebo","p_raw","p_fdr","p_raw_resid","p_fdr_resid","n_verum","n_placebo","n_dropped"
"AUC","qinparcels","detrend","cognition",-1.0205,-2.2622,0.1429,1.5157,2.1417,0.1119,0.4055,0.069,0.3074,17,18,0
"AUC","qinparcels","detrend","visual",-0.6711,-1.8455,0.5195,1.578,2.0548,0.2858,0.4055,0.2559,0.317,17,18,2
"AUC","qinparcels","detrend","motor",-1.1287,-2.5855,0.1964,1.5315,2.7227,0.1511,0.4055,0.1537,0.3074,17,18,8
"AUC","qinparcels","detrend","auditory",-0.6363,-2.1419,0.7624,1.7807,2.5533,0.4055,0.4055,0.3411,0.3411,17,17,30
"SampEn","qinparcels","detrend","intero",0.0269,-0.1257,0.1851,0.2365,0.2532,0.7444,0.9557,0.1851,0.6525,17,18,0
"SampEn","qinparcels","detrend","extero",0.0166,-0.1761,0.2217,0.2876,0.3369,0.8771,0.9557,0.3437,0.6525,17,18,0
"SampEn","qinparcels","detrend","cognition",-0.0229,-0.1917,0.1445,0.2587,0.2629,0.8018,0.9557,0.5919,0.6525,17,18,1
"SampEn","qinparcels","detrend","visual",0.0057,-0.1946,0.2144,0.3224,0.3136,0.9557,0.9557,0.3721,0.6525,17,18,2
"SampEn","qinparcels","detrend","motor",-0.0147,-0.1866,0.1649,0.2864,0.259,0.8748,0.9557,0.4815,0.6525,17,18,0
"SampEn","qinparcels","detrend","auditory",0.0074,-0.208,0.2141,0.2974,0.3606,0.9458,0.9557,0.6525,0.6525,17,18,6
"AUC","qinparcels","glm","intero",-0.3306,-0.7576,0.0935,0.6996,0.6403,0.1505,0.6141,0.0848,0.5087,17,18,1
"AUC","qinparcels","glm","extero",-0.0275,-0.5385,0.4969,0.7521,0.6529,0.9215,0.9215,0.807,0.807,12,16,147
"AUC","qinparcels","glm","cognition",-0.0984,-0.5129,0.3171,0.4708,0.7946,0.6615,0.7938,0.3529,0.5807,17,18,0
"AUC","qinparcels","glm","visual",-0.2909,-0.9653,0.395,0.9006,1.1774,0.4221,0.6331,0.7591,0.807,17,18,6
"AUC","qinparcels","glm","motor",-0.3051,-0.8574,0.2484,0.8146,0.9226,0.3071,0.6141,0.3872,0.5807,17,18,1
"AUC","qinparcels","glm","auditory",-0.3223,-0.8025,0.1773,0.5441,0.8676,0.2397,0.6141,0.3015,0.5807,14,17,71
"SampEn","qinparcels","glm","intero",0.1091,-0.0366,0.2608,0.2186,0.2435,0.1725,0.9978,0.0481,0.2886,17,18,0
"SampEn","qinparcels","glm","extero",2e-04,-0.1579,0.1697,0.2466,0.2654,0.9978,0.9978,0.5529,0.8518,17,18,0
"SampEn","qinparcels","glm","cognition",0.0492,-0.1147,0.2118,0.2899,0.2169,0.5742,0.9978,0.3295,0.8518,17,18,0
"SampEn","qinparcels","glm","visual",-0.0196,-0.2431,0.2136,0.2993,0.4063,0.8752,0.9978,0.7591,0.8838,17,18,1
"SampEn","qinparcels","glm","motor",-0.0375,-0.2114,0.1411,0.2347,0.3096,0.6866,0.9978,0.8838,0.8838,17,18,0
"SampEn","qinparcels","glm","auditory",-0.0134,-0.1982,0.1735,0.2796,0.2989,0.895,0.9978,0.5678,0.8518,17,18,1
"AUC","qinparcels","maximal","intero",-0.008,-0.2281,0.2237,0.3381,0.3715,0.9474,0.9474,0.3765,0.5517,17,18,0
"AUC","qinparcels","maximal","extero",-0.0731,-0.2498,0.1155,0.3413,0.2163,0.4564,0.9083,0.4598,0.5517,17,18,0
"AUC","qinparcels","maximal","cognition",-0.0652,-0.3488,0.2283,0.4288,0.4609,0.6757,0.9083,0.1987,0.5517,17,18,0
"AUC","qinparcels","maximal","visual",-0.1357,-0.4,0.1213,0.3248,0.4654,0.3215,0.9083,0.3123,0.5517,17,18,0
"AUC","qinparcels","maximal","motor",-0.115,-0.4381,0.1967,0.3512,0.6094,0.5073,0.9083,0.287,0.5517,17,18,0
"AUC","qinparcels","maximal","auditory",0.0379,-0.1833,0.2781,0.2759,0.4266,0.7569,0.9083,0.974,0.974,17,18,0
"SampEn","qinparcels","maximal","intero",0.1,-0.0447,0.247,0.1806,0.2663,0.209,0.418,0.2031,0.4062,17,18,0
"SampEn","qinparcels","maximal","extero",0.1348,-0.0226,0.2964,0.2022,0.2869,0.1224,0.418,0.101,0.3177,17,18,0
"SampEn","qinparcels","maximal","cognition",0.1287,-0.0313,0.2939,0.2426,0.2674,0.144,0.418,0.1059,0.3177,17,18,0
"SampEn","qinparcels","maximal","visual",0.0525,-0.1688,0.2817,0.2836,0.4104,0.6578,0.9868,0.4493,0.6739,17,18,1
"SampEn","qinparcels","maximal","motor",0.0116,-0.1681,0.1973,0.2675,0.2973,0.9039,0.9952,0.6371,0.7646,17,18,0
"SampEn","qinparcels","maximal","auditory",6e-04,-0.196,0.1933,0.2916,0.3126,0.9952,0.9952,0.8489,0.8489,17,18,1
