"layer","n_verum","n_placebo","observed_diff","sw_p_verum","sw_p_placebo","test1_method","test1_stat","test1_p_raw","test1_p_fdr","perm_p_raw","perm_p_fdr"
"visual",19,20,0.0555928574478412,0.635282846164735,0.274029287503943,"Welch t-test",0.725973240326514,0.472692452777606,0.693598243908621,0.46995300469953,0.697010298970103
"auditory",19,20,0.0571894962707501,0.781890693378491,0.44184134071613,"Welch t-test",0.680743090524756,0.500526089964303,0.693598243908621,0.484251574842516,0.697010298970103
"motor",19,20,0.0531115371665644,0.819573020727278,0.690036945871267,"Welch t-test",0.681166028003947,0.500025883341339,0.693598243908621,0.498550144985501,0.697010298970103
"extero",19,20,0.0897652289569477,0.4112190830693,0.497594056919566,"Welch t-test",1.14347033288795,0.260630396410195,0.693598243908621,0.271172882711729,0.697010298970103
"intero",19,20,0.0204641952136558,0.880780662875686,0.287573019601616,"Welch t-test",0.223928196995392,0.824045167348774,0.824045167348774,0.81971802819718,0.81971802819718
"mental",19,20,0.0445663643238842,0.0856361392358905,0.511546813380276,"Welch t-test",0.561952744723738,0.577998536590518,0.693598243908621,0.580841915808419,0.697010298970103
