roi_id,sampen
1,5.343954401217362
2,5.852442811586142
3,5.509235174557912
4,5.926430782004164
5,4.660250628025393
6,4.9818526532897405
7,5.857980995127572
13,5.317111078589587
16,5.702420082269333
17,4.797412118810025
18,6.471675214392045
19,5.154577037108877
20,6.121015400961366
21,5.59778654107874
22,6.442943495848729
23,5.807354922057605
48,5.3715588626119635
49,5.016436889810674
121,5.625708843064465
142,5.257387842692652
152,5.5770312270849365
153,6.303780748177103
154,5.3957483281790335
156,5.221714303795931
157,5.224537693168005
158,6.592457037268081
159,5.1177873781071375
160,5.324699844137416
163,6.75933340719466
181,5.778442230142365
182,5.24031432933371
183,5.9818526532897405
184,5.355351096424813
185,5.355351096424813
186,5.366782330671623
187,6.084428781160706
193,5.211401637418471
196,5.1263357328946295
198,5.6062730069665685
199,5.302706114949845
201,6.076815597050831
202,5.752830915869531
203,5.897240425574799
229,4.529006094747141
301,5.412781525338477
322,5.721858701775997
332,5.56309032024365
333,7.37213954084113
334,5.554588851677638
336,4.619232402805903
337,4.630327804930078
338,4.923854602341661
339,5.0688950812110685
340,6.635173946674924
343,6.361943773735241
