"layer","detrend_raw_p","detrend_raw_q","detrend_resid_p","detrend_resid_q","glm_raw_p","glm_raw_q","glm_resid_p","glm_resid_q","maximal_raw_p","maximal_raw_q","maximal_resid_p","maximal_resid_q"
"visual",0.6162,0.912,0.4063,0.698,0.8949,0.895,0.9536,0.954,0.4869,0.794,0.5277,0.742
"auditory",0.4508,0.902,0.7021,0.843,0.6902,0.895,0.822,0.954,0.7731,0.928,0.6325,0.742
"motor",0.0815,0.489,0.0229,0.137,0.3473,0.895,0.241,0.93,0.5292,0.794,0.4826,0.742
"extero",0.1696,0.509,0.2249,0.675,0.3236,0.895,0.3101,0.93,0.4082,0.794,0.4279,0.742
"intero",0.9796,0.98,0.9777,0.978,0.8817,0.895,0.7976,0.954,0.5108,0.794,0.7419,0.742
"mental",0.7596,0.912,0.4653,0.698,0.8057,0.895,0.8089,0.954,0.9508,0.951,0.6364,0.742
