roi_id	pos_id
21	19
26	24
65	56
66	57
70	61
72	63
76	67
77	68
85	73
88	76
89	77
90	78
91	79
92	80
93	81
118	102
122	105
123	106
131	114
134	117
135	118
156	135
159	138
165	144
170	149
171	150
172	151
233	207
245	217
246	218
252	222
256	226
257	227
265	234
268	235
269	236
270	237
271	238
273	240
298	260
311	272
314	274
345	302
350	306
351	307
352	308
