Timepoint,1,2,3,4,5,6,7,13,16,17,18,19,20,21,22,23,48,49,121,142,152,153,154,156,157,158,159,160,163,181,182,183,184,185,186,187,193,196,198,199,201,202,203,229,301,322,332,333,334,336,337,338,339,340,343
0,2.7698467,5.1328835,-3.582728,2.904345,-0.649353,1.1436976,1.1802912,1.93826,7.066894,4.7234707,6.29578,-2.6597712,1.5655425,0.54697645,-2.7385075,6.5594,1.6023306,1.81838,0.061842572,2.2045352,2.713398,-2.5200374,-2.1509845,2.6978223,-0.3485366,5.7811284,0.5376822,3.403058,-0.119181745,4.779073,-9.807434,-5.0504117,0.028369587,1.8479413,3.7706509,-1.4033495,1.7432227,2.9806218,1.0239938,1.7424239,4.4276657,0.5837852,-1.313021,1.5757978,0.64407015,3.921109,-0.2158671,4.204557,-0.024705987,1.5009718,6.5940447,-0.1917256,0.5559134,2.2723773,-0.083423994
1,2.2980633,-1.0320148,1.3702546,1.3255603,1.579307,-0.8646826,3.2983828,2.5549717,1.486616,8.117671,4.817572,1.6127206,2.1326663,-3.271961,-3.4981952,7.1395216,4.824309,2.457378,-4.8722816,2.5459123,6.0781484,-8.398233,-4.8308973,-0.4715874,3.8947299,6.527339,0.01748261,-1.209682,0.5687858,0.89136285,0.47727603,-2.1055589,2.9692,1.1227621,-0.07536976,2.6407273,3.2154558,4.953313,-1.8039476,7.664852,-1.0572252,-6.9737587,8.083762,-2.3729596,-2.4618635,5.6190796,-0.9548537,-1.8646955,-8.755045,2.2036219,1.1096878,0.08743609,6.327416,-1.0754718,-3.2251678
2,-1.6755477,-0.138989,2.1862197,1.2607113,0.93424994,-1.9432921,2.4760227,-3.353184,0.60387033,3.4542222,5.9964757,4.7892084,1.7615924,-8.516225,1.3235966,7.4716983,7.5037637,1.0133272,-1.2905949,2.0278857,-1.077073,7.289963,0.51295733,-4.8496504,2.6912024,0.4214698,6.3962126,15.555987,6.9740844,1.5661378,7.5933247,6.3420935,-0.48190695,3.6725636,1.7412049,5.9919477,3.6127343,2.6522038,-2.2900627,5.33709,0.041050404,-6.7417006,0.7367781,1.4780505,-6.872702,1.6365783,3.3469853,1.2498504,-2.5759203,6.880735,4.074652,-1.1393052,5.985001,15.785481,-0.8493612
3,5.102144,2.973916,-1.6036036,3.2262087,1.2938195,4.673667,6.6634035,0.5332689,7.201017,-0.5389202,7.61336,3.1698034,0.940199,7.075681,4.723955,7.1188164,-0.7974786,1.423868,1.9624797,3.00646,-2.1106782,1.6383433,-1.0939965,9.701829,2.400823,0.42150846,4.129825,1.1385069,-0.79094875,5.076968,-3.9638538,3.1742866,-1.438792,4.3018246,4.396649,5.901745,5.9515195,1.2888564,-0.13202663,7.520006,4.777235,-0.072221816,1.9336305,3.539298,-4.97738,-0.9196647,1.5041087,3.2532425,0.9779886,2.7308807,0.74687964,-0.63017875,6.263748,3.5647826,-1.0973006
4,2.831834,9.945483,-0.25723544,4.1889577,1.5642658,7.1113496,2.7007391,1.8700342,-1.1117593,-6.0110903,2.591793,-4.6376915,7.083139,6.990989,-2.8717854,1.5543158,6.1121874,2.1176693,-1.3787687,-4.97379,-2.9262478,6.003564,-3.1870801,8.914207,0.9065716,4.401926,2.3836586,2.911724,4.4764285,4.926474,3.8490133,0.7393955,0.77985895,2.983604,4.179848,3.934242,-1.4835533,0.58323216,2.2495835,-2.7897577,1.8355095,-3.0295577,0.90698457,-1.2947687,1.6462291,1.5290378,-0.3761959,-0.04153202,-5.1024523,3.2731616,2.9456944,-0.48907876,7.9238057,6.2683473,3.5525458
5,-1.0220835,1.3664329,-2.807918,0.2879376,0.043906994,1.8798084,-0.965954,4.392775,-1.2151384,-1.6083925,-2.6420767,-9.239057,0.33443612,-5.5611434,1.2205774,-0.5245208,2.8991997,2.3516362,-4.2391963,-3.3777363,-6.327981,-4.990245,-2.4277613,-0.80126184,2.499847,3.3781996,6.423689,4.6153493,-0.6526491,2.0564518,-1.4502281,0.027733874,0.9841452,2.8767767,2.1436543,-0.24844208,4.0148106,3.124656,-2.0388815,-3.4871638,0.41780055,-1.1632135,1.7833252,0.37827972,-1.6880009,-5.1886935,-2.6989024,-0.5231078,5.703346,-0.766653,-1.9829478,-1.7531166,4.1151986,-9.947701,-1.8390263
6,3.1628537,2.7621605,2.796176,3.3674302,2.0184886,1.9502761,1.0289677,2.9101315,4.4690313,-1.0104146,3.9239256,1.5846988,0.9853025,3.6398861,1.4153423,1.9421239,2.7913718,5.845131,4.52575,0.40277356,-0.6641283,-1.1748283,1.9966878,1.0533059,5.558,0.1812264,-0.43292218,-1.4229938,-0.016997794,4.2393074,2.400481,6.49889,2.8756158,3.576433,5.9524713,2.1837685,4.506098,0.87675774,-0.32054493,7.426046,1.6475607,2.4394758,1.8830459,-1.6582289,4.4448752,0.96483266,1.7663817,4.5845523,9.388745,1.5859308,-1.2714143,3.113137,2.9791512,3.870641,4.274262
7,4.4963427,4.8303213,5.219368,7.6750364,7.0821977,4.0314627,8.598499,5.665012,1.134815,5.191146,11.177755,-0.0632153,0.6174787,7.545269,6.657276,6.1720977,4.262223,3.7879975,9.790302,0.18314637,-1.8108965,5.5918813,10.003809,9.682977,0.105488524,6.1777816,8.070928,3.8629432,3.7792075,6.0352154,3.244132,4.947987,7.8700233,8.172003,7.2931533,5.011119,8.717303,6.493959,3.341989,2.1700778,11.981596,8.867061,-1.0686175,3.1946642,7.895356,4.956056,5.1445417,3.323418,6.562093,7.5679517,1.6398286,1.6886618,7.6975336,-0.53872335,4.15531
8,-0.7836184,8.024739,3.8496213,2.9716501,3.4874554,3.9521587,3.3875277,0.25841597,3.6804383,5.9227023,6.5130496,-3.765597,8.658979,2.1102164,10.729085,12.052301,1.4240254,-2.3812075,-1.0567734,4.4584217,-0.32684064,0.066798724,-7.255095,0.57071954,2.9447947,9.575745,8.159917,-1.4145721,0.011475866,-1.2948351,-0.4163955,6.8951793,2.601817,4.5068316,4.990934,7.270015,7.0508914,4.7178183,-0.30634877,9.006495,3.908599,2.2482755,2.2988763,1.7385709,0.5925312,5.479323,-0.08125036,0.80132234,-2.6480284,6.8409567,0.99817693,3.665852,12.125696,-0.21536985,1.6820278
