"category","t","df","t_p","U","U_p","d","d_lab"
"Interoceptive Self",0.156172939703799,32.4769214728169,0.876863454896296,156,0.934239341480857,0.0525309989609632,"negligible"
"Exteroceptive Self",0.290207483022965,30.8517777071972,0.773599251054461,147,0.855953903363525,0.0972282938883879,"negligible"
"Mental Self",-0.611750303474916,30.722637173508,0.545203823257569,138,0.632243630901909,-0.204905222744188,"small"
"Sensory-Motor",-0.168881982851553,32.5817386655161,0.86693357478541,143,0.753865329868274,-0.0568283981140746,"negligible"
