"layer","obs_diff_full","test1_p_full","test1_pfdr_full","perm_p_full","perm_pfdr_full","obs_diff_sd25","test1_p_sd25","test1_pfdr_sd25","perm_p_sd25","perm_pfdr_sd25","obs_diff_iqr","test1_p_iqr","test1_pfdr_iqr","perm_p_iqr","perm_pfdr_iqr"
"visual",0.00210855359340834,0.192337845623254,0.384675691246508,0.997600239976002,0.997600239976002,-0.464331856383029,0.240713767726121,0.481427535452243,0.231976802319768,0.463953604639536,-0.660162277171556,0.0692214012801159,0.207664203840348,0.0661933806619338,0.198580141985801
"auditory",-0.401683641772536,0.457648416326451,0.535064454478206,0.464653534646535,0.585781421857814,-0.401683641772536,0.457648416326451,0.549178099591741,0.464953504649535,0.585901409859014,-0.184455370058203,0.71751968908888,0.861023626906656,0.717928207179282,0.861513848615138
"motor",-0.435258734398846,0.453986150135206,0.535064454478206,0.488151184881512,0.585781421857814,-0.435258734398846,0.453986150135206,0.549178099591741,0.488251174882512,0.585901409859014,-0.0720052092262209,0.877001500180263,0.877001500180263,0.872612738726127,0.872612738726127
"extero",-1.6619855661418,0.00317551158849345,0.0190530695309607,0.0051994800519948,0.0311968803119688,-1.6619855661418,0.00317551158849345,0.0190530695309607,0.0051994800519948,0.0311968803119688,-1.6619855661418,0.00317551158849345,0.0190530695309607,0.0051994800519948,0.0311968803119688
"intero",-0.690697906393164,0.535064454478206,0.535064454478206,0.345565443455654,0.585781421857814,-0.199342372965354,0.693712239081229,0.693712239081229,0.697830216978302,0.697830216978302,-0.161446723274368,0.685899576320755,0.861023626906656,0.685531446855314,0.861513848615138
"mental",-0.639645980516785,0.110326853192524,0.330980559577572,0.107689231076892,0.323067693230677,-0.639645980516785,0.110326853192524,0.330980559577572,0.107589241075892,0.322767723227677,-0.639645980516785,0.110326853192524,0.220653706385048,0.106989301069893,0.213978602139786
