"layer","obs_diff_full","test1_p_full","test1_pfdr_full","perm_p_full","perm_pfdr_full","obs_diff_sd25","test1_p_sd25","test1_pfdr_sd25","perm_p_sd25","perm_pfdr_sd25","obs_diff_iqr","test1_p_iqr","test1_pfdr_iqr","perm_p_iqr","perm_pfdr_iqr"
"visual",-0.0526051339460811,0.221615186264651,0.443230372529302,0.93970602939706,0.93970602939706,-0.47111683765187,0.206213239268821,0.412426478537642,0.203779622037796,0.407559244075592,-0.641149391599747,0.0652426576470995,0.195727972941299,0.0651934806519348,0.195580441955804
"auditory",-0.386052358275571,0.443824807741008,0.665737211611512,0.434956504349565,0.685881411858814,-0.386052358275571,0.443824807741008,0.53258976928921,0.434956504349565,0.521947805219478,-0.188748810059025,0.690956718993703,0.690956718993703,0.685731426857314,0.685731426857314
"motor",-0.708819699297625,0.148829615908204,0.443230372529302,0.145985401459854,0.437956204379562,-0.708819699297625,0.148829615908204,0.412426478537642,0.145985401459854,0.407559244075592,-0.708819699297625,0.148829615908204,0.297659231816409,0.145985401459854,0.291970802919708
"extero",-1.56607870659148,0.0121795711996252,0.073077427197751,0.0122987701229877,0.0737926207379262,-1.56607870659148,0.0121795711996252,0.073077427197751,0.0122987701229877,0.0737926207379262,-1.17518631487731,0.0173541233942663,0.104124740365598,0.0180981901809819,0.108589141085891
"intero",-0.49820840267503,0.683703338135546,0.694370342118068,0.457254274572543,0.685881411858814,-0.135671912683434,0.883942122067261,0.883942122067261,0.808219178082192,0.808219178082192,-0.404162508071046,0.413332782493023,0.619999173739535,0.412358764123588,0.618538146185381
"mental",-0.229320048685339,0.694370342118068,0.694370342118068,0.700729927007299,0.840875912408759,-0.519904449983164,0.320589887412824,0.480884831119236,0.332266773322668,0.498400159984002,-0.269478593010638,0.564679926696254,0.677615912035505,0.565343465653435,0.678412158784122
