Timepoint,50,69,109,112,117,138,197,200,227,228,237,258,262,289,296,318
0,-0.011902866,-3.0182223,-3.1920838,-8.218461,4.5084634,-3.1962273,-0.19379336,-5.006033,0.6598033,-0.99225473,-4.159877,1.7271878,-0.39902672,-1.7131492,1.6256284,-1.2904979
1,1.07085,-5.942461,-4.8980656,-12.471449,3.9131498,-6.27846,-0.7872714,-3.1431792,2.4933655,-0.44109726,-2.7282004,0.69960296,0.010321645,-4.300211,1.8700849,-2.1844866
2,1.5965865,-8.839468,-7.116394,-14.777573,1.0246569,-7.0605755,-2.5330243,0.97921944,3.036431,-1.0595982,0.1528446,-0.21743979,0.58090156,-7.3450594,1.3285005,-3.884458
3,1.1213505,-10.685625,-8.845791,-15.129897,-2.4989939,-5.1986485,-3.91334,5.168345,1.9075918,-2.4853556,2.5481935,0.13458313,0.97471935,-9.005918,0.31571302,-5.2580843
4,0.30223453,-10.311436,-8.268459,-13.439538,-4.325448,-1.6775656,-3.2733188,7.261966,-0.007088829,-3.0636134,3.2935715,1.9192337,1.1791363,-7.4553185,-0.44299778,-4.641593
5,0.32075864,-7.1993017,-4.3187456,-9.286315,-3.3470404,1.94645,-0.40936202,6.727297,-1.3609529,-1.5510198,2.9864593,4.099509,1.543872,-2.6199424,-0.5081222,-1.3817811
6,1.5999405,-2.3033195,1.7718456,-2.8288722,-0.57505345,4.3687778,3.0934846,4.7641773,-1.4485437,1.3539246,3.1349037,5.262109,2.3263407,3.2406263,-0.12708628,3.2058644
7,3.1492696,2.057961,6.7596073,4.236628,1.8444082,4.9842806,5.19412,3.0567005,-0.61277413,3.4192595,4.3927174,4.7046356,3.2102928,6.9804616,0.081948906,6.566681
8,3.368721,3.5980995,7.7574015,9.148255,2.5677693,3.9888349,5.1354575,2.5115101,0.28315225,3.019073,5.750762,2.849631,3.4063027,6.9889526,-0.182215,6.880993
9,1.6379284,1.8384526,4.7427793,9.997338,2.0657175,2.2542183,3.8877783,3.0310464,0.67870146,0.8586661,5.5261803,0.76230425,2.3940992,4.428671,-0.6068843,4.550818
10,-0.93288016,-1.3363141,0.7471334,7.3491797,1.7526479,0.9036023,2.90949,4.09489,0.6407771,-0.6110536,3.097276,-0.64485824,0.6201237,2.0846288,-0.70237625,1.7857596
11,-2.4861276,-3.1042104,-0.7356841,3.8033402,2.2060752,0.5759548,2.5797687,5.178382,0.5221106,0.34998944,-0.4113605,-1.0332214,-0.66648334,1.8461181,-0.48196083,0.61441714
12,-2.244453,-2.058992,1.1392049,1.7041669,2.4105842,0.8201009,1.9797632,5.5968738,0.4620112,2.9163134,-3.1237457,-0.5610472,-0.49222633,3.1688213,-0.5637207,1.1600986
13,-1.3012238,0.6240349,3.8870687,1.1820898,0.90402716,0.31640017,0.22488748,4.3933644,0.28660467,4.434323,-3.952208,0.32190427,0.7896082,3.922323,-1.4691333,1.7904168
14,-1.4531913,2.400635,4.1729975,0.50402874,-2.337914,-1.9219435,-2.1707046,0.9822516,-0.1646852,3.1207798,-3.1018965,0.95277584,1.5987642,2.7062829,-2.827209,0.9463219
15,-3.1923754,1.9150898,1.1167722,-1.6130121,-5.339542,-5.26865,-3.514214,-3.8161936,-0.73271567,0.008438412,-1.2529411,0.59566647,0.5198091,0.31989154,-3.4366324,-1.1744852
16,-4.9678135,0.46567068,-2.7705092,-4.1575513,-5.682909,-7.4612193,-2.6567423,-7.650202,-1.0262856,-1.9085774,1.3623968,-1.0960271,-2.1905901,-1.0252992,-2.3292632,-2.7460206
