Timepoint,40,53,78,106,110,111,113,118,120,122,243,285,288,300
0,-1.0699067,0.7611994,-1.6620158,0.4625564,4.3489857,2.69993,1.5320287,2.5889943,-2.4304166,-0.6771369,4.073745,1.5701547,-1.8923887,1.9381517
1,-1.0344061,0.7758848,-1.3160099,0.5705458,2.8360496,2.7067251,1.1475022,1.318661,-2.6368635,-0.7080739,3.4391546,0.8698881,-1.0485109,0.71293116
2,-1.5441166,0.2998516,-1.6850296,1.3313562,2.4048557,0.93394995,1.071095,-0.21340881,-1.673846,0.23011295,1.2037762,0.20572962,-0.56868535,-0.34489077
3,-1.8392555,0.12260193,-2.168629,2.3727748,1.8124522,-0.9390428,1.8623351,-0.42669314,-0.74230295,1.5547909,-0.62868154,0.6615029,-0.1552133,-0.464603
4,-0.99764836,0.7037604,-1.6374801,2.5615604,-1.864778,-1.1217089,3.0722885,0.859446,-1.3533703,1.9528756,-0.5284827,2.1365318,0.85033756,-0.20799728
5,1.0954893,1.4596297,0.4849422,0.9501825,-9.390187,0.45916632,3.4462314,2.1294243,-3.53962,0.50508106,1.0243914,3.198579,2.4459653,-0.742172
6,3.4444156,1.2225231,3.5108092,-2.1585507,-16.96187,2.040095,1.9377826,1.7122091,-5.259768,-2.2650225,1.9657171,2.3728316,3.6037128,-2.2604578
7,4.6903887,-0.41889694,5.8316116,-5.126247,-18.504145,1.8137918,-1.2912209,-0.42839736,-3.9873095,-4.528455,0.657931,-0.29307988,3.120853,-3.3923495
8,4.2598453,-2.3073294,6.0739107,-6.141761,-11.157893,-0.18754284,-4.7459993,-2.5773795,0.7445941,-4.565923,-2.4829905,-2.985001,0.8987318,-2.4691405
9,2.8265631,-2.522351,4.1269035,-4.684663,1.2819684,-2.08843,-6.5179715,-2.9908795,6.3388333,-2.2725313,-5.322196,-3.6102011,-1.7120907,0.5633537
10,1.6428567,-0.26060522,1.231767,-1.9534054,10.795882,-2.0661097,-5.578438,-1.6395739,8.969632,0.6672042,-5.9196315,-1.7027528,-2.9734979,3.688625
11,1.4038026,3.0654683,-0.89111984,0.17645898,11.679559,-0.16362081,-2.475169,-0.12313829,6.8368416,2.1829674,-4.1314054,1.0968344,-2.2457933,4.5246024
12,1.7631073,4.8431273,-1.1691939,0.7264906,5.240037,1.8684441,1.075132,0.105537295,1.8394346,1.5492429,-1.4492887,2.5308242,-0.4392911,2.5850816
13,1.9331424,3.6636171,0.24881889,0.27572122,-1.7590085,2.47621,3.354964,-0.7735754,-2.039599,-0.14794819,0.53513336,1.8012115,0.98664707,-0.23695388
14,1.6621611,0.8155811,2.2664664,0.13830931,-3.3802276,1.8613399,3.6720428,-1.3811133,-2.2619753,-1.1897736,1.3778263,0.22072983,1.4150627,-1.5468988
15,1.4819641,-0.77530277,3.624524,0.9158667,0.46261883,1.5109946,2.51388,-0.94651794,0.098529875,-0.84766513,1.6116031,-0.21507132,1.4326898,-0.80417675
16,1.9205273,0.6508615,3.6069834,1.8665544,4.809113,2.2700593,0.8580645,-0.36869574,1.6005554,0.124341175,1.6555247,1.0751241,1.879248,0.27952504
