"layer","detrend_raw_full_p","detrend_raw_full_q","detrend_raw_iqr_p","detrend_raw_iqr_q","detrend_resid_full_p","detrend_resid_full_q","detrend_resid_iqr_p","detrend_resid_iqr_q","glm_raw_full_p","glm_raw_full_q","glm_raw_iqr_p","glm_raw_iqr_q","glm_resid_full_p","glm_resid_full_q","glm_resid_iqr_p","glm_resid_iqr_q","maximal_raw_full_p","maximal_raw_full_q","maximal_raw_iqr_p","maximal_raw_iqr_q","maximal_resid_full_p","maximal_resid_full_q","maximal_resid_iqr_p","maximal_resid_iqr_q"
"visual",0.9557,0.9557,0.7026,0.8738,0.3721,0.6525,0.8545,0.901,0.8752,0.9978,0.8752,0.895,0.7591,0.8838,0.7591,0.8946,0.6578,0.9868,0.6578,0.7894,0.4493,0.6739,0.4493,0.68
"auditory",0.9458,0.9557,0.528,0.8738,0.6525,0.6525,0.8995,0.901,0.895,0.9978,0.895,0.895,0.5678,0.8518,0.8946,0.8946,0.9952,0.9952,0.3441,0.5633,0.8489,0.8489,0.4534,0.68
"motor",0.8748,0.9557,0.8738,0.8738,0.4815,0.6525,0.4778,0.901,0.6866,0.9978,0.6445,0.895,0.8838,0.8838,0.8835,0.8946,0.9039,0.9952,0.9041,0.9041,0.6371,0.7646,0.8492,0.8492
"extero",0.8771,0.9557,0.6875,0.8738,0.3437,0.6525,0.901,0.901,0.9978,0.9978,0.5823,0.895,0.5529,0.8518,0.5526,0.8946,0.1224,0.418,0.3594,0.5633,0.101,0.3177,0.1814,0.5828
"intero",0.7444,0.9557,0.7504,0.8738,0.1851,0.6525,0.3339,0.901,0.1725,0.9978,0.3194,0.895,0.0481,0.2886,0.0382,0.2292,0.209,0.418,0.3756,0.5633,0.2031,0.4062,0.5945,0.7134
"mental",0.8018,0.9557,0.5441,0.8738,0.5919,0.6525,0.5929,0.901,0.5742,0.9978,0.4576,0.895,0.3295,0.8518,0.4204,0.8946,0.144,0.418,0.2519,0.5633,0.1059,0.3177,0.1943,0.5828
