Timepoint,1,2,3,4,5,6,7,8,9,10,11
0,4.19008700580013,19.566238802306508,-7.051223625638047,-17.562655469896843,12.547205771718707,5.528113894316615,2.6412645322935924,0.9171449035710219,12.491295302400784,3.9631685134099452,5.51892180953707
1,7.217507792066555,21.716371528956355,-2.9047535755196394,-15.697231851061996,13.4573984365074,1.6678486940812092,2.3007437367828523,3.6262193614122817,16.38420045254182,12.192484653725916,5.432420644224907
2,8.146369241330088,14.690795499451307,4.770363063228373,-6.006005997560462,12.376659494273516,-1.3442628383636475,0.9260750279134634,4.146812024773384,13.239936208238406,17.017128269891348,2.6506943851709366
3,6.966606654682938,4.980976922171457,11.986704449872581,6.611155917145768,9.619600387252106,1.9543993400067698,0.520342368860634,2.0470047609842554,6.21815346941656,14.858664263572011,-0.6208851556388699
4,4.706810033747128,1.833053428299573,15.009718717665088,16.219198241525767,5.5744567805407,11.436870165321292,2.095604712941817,-0.42094001660541613,1.3678591120608,7.749133336300752,-1.732342033361902
5,2.440997305661155,8.971639512753,13.25001015955088,19.70705267072332,0.666064048299984,20.45898647332678,4.789746809218611,-0.18743179343184646,2.0452805161476135,2.1675892343022385,-0.20989705850275195
6,0.6766935994430464,20.703840528215682,9.358036325294144,17.52739562793654,-4.54844436596851,21.462622951488104,6.659559800916789,3.7403688084106057,5.759671944136522,3.503016381847615,1.68305717803994
7,-0.5145550212081598,26.480997803259868,6.536293920205564,11.782233295087911,-9.370559291571986,13.133514605918709,6.2701161625433945,9.073687934753845,6.487175912767345,11.062508850985644,1.2479080290210491
8,-1.121021115050024,20.124112314107467,5.699561387300491,4.484674302899108,-13.030370318159765,2.109703843690911,3.7110033996251164,11.944080239047809,0.40008566087606,18.367246438197945,-1.7029608585396592
9,-1.150856888415862,5.251680060308807,5.149178273823797,-2.341992554615955,-14.725096118085238,-2.827954572074267,0.4548874424428356,10.039417246014487,-10.2798951034035,18.659445731007324,-4.396868197285399
10,-0.8614891591120739,-8.150373126779284,2.878788576442368,-5.971110445504286,-13.736615571136378,1.191072736467634,-1.536291392482057,4.410588829493036,-18.90402877026675,10.674044104426034,-3.880262708177372
11,-0.7286684090385631,-12.647445284590429,-0.951769410347452,-3.869411803021723,-9.915671793781982,8.563788920032735,-0.8176421133839354,-1.5271251873702418,-20.05402253598583,-0.47177690662899796,-0.3119128273457897
12,-0.9803658267673181,-9.212116712210129,-3.912152606613782,3.8613422476515478,-4.466677570829586,10.738142758607864,2.7146559163015715,-4.739445830486258,-14.115161712072334,-7.8245985702592495,2.777487182153427
13,-1.2393607661432149,-4.7552125636412175,-3.667345624797198,13.19209303904553,-0.24589540216387534,4.538337012334746,7.3646505061461,-4.636568085271485,-6.70121829728691,-8.25816222113006,1.8748570005504452
14,-0.9020647619451795,-4.502580902406147,-0.43628010457875777,18.29268245551051,-0.5993984280800333,-4.836784512336765,10.029976712805885,-2.927653727482776,-3.586311557463237,-4.345626117015372,-2.7336811955486024
15,-0.04858057474603458,-7.316442979841816,2.9185949734279086,15.852574666543882,-6.813418383501014,-9.105828444568479,7.874932871181137,-1.8038820055674534,-5.786458635816769,-1.3901111439478642,-6.781633830800349
16,0.16272277263354282,-8.45605090625432,3.3140429088047574,7.619030315048841,-15.949703673927152,-5.27035579936845,0.6795589545247506,-2.214657573067412,-9.11840258082565,-2.8361763102667674,-5.986005615899149
17,-1.6102441628368533,-6.078898375131646,0.12358709379118316,-1.4535474533937416,-21.473989080409613,1.2586138394414161,-7.996784935192186,-3.5031628480979373,-8.410104745504807,-8.051160194435898,-0.4005282861845834
18,-5.286332771486165,-3.8363918944889184,-4.3402275874906655,-7.6537787062781195,-17.396635009317983,1.9536819865508956,-12.538313834034668,-4.286905890216633,-2.428445440774061,-13.65842782690817,5.284348488331545
19,-8.677171157330882,-6.505527273732788,-6.904398195521564,-11.051620685324377,-3.4705913310148278,-6.266542735148449,-9.384478069081599,-3.615461139046416,4.844023699663123,-16.479993177919972,6.061555639973709
20,-8.816017042617409,-13.701282156365258,-6.24094635126542,-13.717268615961075,12.91230684397172,-17.6389642515961,-0.4478528244154794,-1.6189016812499992,7.548232037193921,-15.535508572447057,1.4404888305318904
21,-4.5054285216088195,-19.27553507442377,-3.845173921816203,-16.014533394453476,20.783556619469,-22.728081961675567,7.4991408513516795,0.5286495126023585,2.8468370414814173,-12.190149994529023,-4.009302256628871
22,2.1458518781832288,-17.84351697959462,-2.591411444605613,-15.53956922098082,13.587747876741448,-17.20704855366933,7.773597296403379,1.1851337400017952,-6.792766316204655,-9.124245541436332,-5.056398822336781
23,6.843223313896024,-11.510096677712031,-4.250737580496875,-10.208062760683955,-4.894335288782509,-5.815018546824553,-0.6353185322819924,-0.8192007736283906,-15.596433525334815,-8.9218088218144,-0.8829014983256253
24,6.2549838426769995,-8.746234957052737,-8.053575599680142,-1.9475958043215227,-22.06671611751829,2.179203775464272,-11.730912035825302,-5.2259979248046875,-18.764327876725975,-12.559751488268375,4.15200858639211
25,0.6506267348114325,-15.440682719556653,-11.32787406870297,3.781716099503089,-25.34951810934106,1.4678302687041613,-17.044505833363047,-10.052723237446376,-15.444524689596527,-18.27630991412669,4.7997189895535
26,-6.216270456508714,-27.15374670223314,-11.553044761930193,3.018487040181549,-11.93744840548963,-4.993249535560608,-12.531744230158475,-12.528458558783239,-8.390769223777616,-21.945642714597742,0.022622950223027443
27,-9.916641700632718,-31.50405897048055,-8.222229221645666,-2.1894902684250654,8.432055091979553,-9.663059171061127,-1.9711382311141612,-10.948242738234754,-1.2900276240151451,-19.619672040550075,-6.0619111304380455
28,-8.529100581547436,-19.628866482754145,-3.2214012073010814,-5.128049368761023,20.52755649479068,-8.064841953467349,6.163189807716681,-6.098170797131499,3.6197444419471587,-10.871885849505055,-8.184280574929957
29,-3.6766239523279425,4.228103306828713,0.45490081243369046,-1.09194523461011,15.378750056636576,-2.8201325797304815,5.729128247317003,-0.8919310083194655,5.948920097886299,0.0500588769815406,-4.836852520704269
30,1.1804609687960879,25.06875872125431,0.7495642280092045,7.1601999912943155,-2.533457872818927,-0.39390120913787763,-2.1709003880315896,1.7601288192126217,6.094910788900998,7.068178766844224,0.6182127102297179
31,3.539867660144762,30.00533100293607,-2.010939897019036,11.220428787932104,-18.524734535995794,-4.133668336333061,-10.454519896482935,1.1797593479253807,4.445922615234645,7.247227671195049,3.421865923672306
32,3.4283587275719154,19.518939602131745,-5.272027108134056,5.038445905763275,-18.890535048076085,-10.613293004279234,-12.104722345970115,-0.6830522763181706,1.7401314657561633,3.4048998124745427,1.81718724783586
33,2.72404308617115,6.224619034601718,-5.994959618364062,-8.563886069521612,-1.1365782436059446,-12.789529565037514,-5.63588302962634,-1.0530297503407513,-0.2567780327279957,1.5172639767430267,-1.8117225681032454
34,3.121171165789877,2.5011281894177806,-2.844955031360899,-19.57022428999142,24.652571775475327,-6.781314018125436,4.413109448795416,1.2835612157169654,0.8017118603599315,5.019203383095411,-3.6795400265528233
35,4.553136562814518,9.272999304897931,2.781324942501224,-19.384433450139298,43.80372389968561,4.246977188149277,11.694485946577423,5.103134366512602,6.0786341806607584,11.483712435680992,-2.077501667397363
36,5.284406387380192,16.728005983999797,7.763758489063808,-8.207722367072591,47.470049673197224,12.644666500541629,12.847346313753906,7.994598985630638,14.035854286077072,15.15281290059187,1.7519459414048766
37,3.479507478828333,15.474996688414594,9.617196440468637,5.740376762551617,37.30169932635463,12.762714669412496,9.000605563728177,8.408428803694491,20.96666851214,12.970878688656555,5.554471285975709
38,-1.0102931239775248,6.3093288151585325,8.341516481370341,13.922803421409762,21.759121571268356,5.52776486776313,3.665059144019472,6.6696367190808665,23.588237914503836,8.005833104861026,8.195811212671046
39,-6.004220573269591,-1.157531390384752,6.232186538832528,14.256475565384845,8.511963633250216,-2.592656357555973,-0.21111154191348017,4.368121099715331,21.567531284020873,6.580416837517096,9.755857353307762
40,-8.081433121571127,1.163190956018409,5.8284635039008394,10.738187523520722,-0.24937940829870653,-4.834927693313482,-1.3956157188026272,3.0726485191559303,17.634767911872085,11.857913690258046,10.126589818268407
41,-4.846214004317108,11.729079640641505,7.8044874862748745,7.532311008996045,-6.549047812819481,1.012516492407541,0.29617314192713523,3.5639230304834792,15.075488539374604,20.42287815590294,8.414087504756694
42,3.084635533544482,21.60224124850059,10.626803978365295,4.633661346776145,-12.17155256198377,11.664465714474114,4.60375728564603,5.7864868689556515,14.882900562517497,25.43990437838496,4.195103573555849
43,11.896047836663772,23.789074467152965,12.134032585182968,-0.32833322274441623,-16.078231964792526,21.161022837672913,10.214914764676776,8.907014401591553,15.184137838227409,23.182351226709326,-0.9570882101448215
44,16.689614895046972,19.25880144080337,11.413551990627026,-7.0124066885636775,-15.902937550933993,24.702162967956795,14.029224584297259,11.233897160510628,13.319374378846616,16.211838933886312,-4.00024218097025
45,14.724797593087565,13.670429715088435,9.19348510674068,-10.744021386516337,-11.179049842819875,20.941595076526305,12.216317632976843,10.625820240195917,8.383789342276904,10.05529191664287,-3.0813658578055247
46,7.476656349337831,9.537679504375069,6.580739048366644,-7.00029049388,-4.428391937850689,12.072845008908486,3.20063393213311,5.921810715478294,1.7643783852762105,7.158400697367532,0.3409552802236713
47,-0.25762467481652085,3.4510225595868365,3.702359997496313,2.7656270983267803,1.009163854073505,2.4408002538340434,-9.895764809634004,-1.4246075924257844,-4.539718625496845,4.776560318713286,2.5085695137706945
48,-3.811535590290263,-8.287114857715004,-0.15268487103131353,10.981448408292264,3.782984130236567,-3.483485447508948,-20.206877910969208,-7.372899009256947,-9.69265574581769,-0.8934952823483214,0.9338003652816524
49,-2.0888926009742583,-22.45848895913484,-5.011263341319804,10.696324703644732,4.750860661876445,-3.237112817715625,-21.59291531966657,-7.894192256489578,-13.911962574842025,-9.028783378552417,-3.0176161746589507
50,1.813836012871898,-29.438531895073094,-9.109484244366081,2.6552322415673,4.509588718414307,2.1261810745511736,-13.300551948802811,-2.4904258999289297,-16.913505172242925,-13.641771248408727,-5.421068534559133
51,3.3976360044004967,-22.277413103045248,-9.78889667501255,-4.8978636155323105,1.4464308205915957,8.248047466180763,-0.7870592730385917,4.611628044016507,-17.237203150379415,-9.498849632788678,-3.923765154593453
52,0.6408621936428304,-5.079085202849641,-5.94929623847105,-4.05794373032998,-6.809798792916901,9.912731545312065,8.269615293461449,7.328686306975325,-13.797597391264778,1.4195736409450064,-0.4932479104217218
53,-4.375929105076558,8.96824664728982,0.23520120856713275,4.944242324147906,-19.52809172260518,4.576683538452703,9.589435401011487,2.686617826928898,-8.092937659852359,10.092451608910853,0.3160198370032773
54,-7.50292271254014,9.12294659565906,4.3137867329071975,13.890433379581996,-30.885681424822128,-5.516411677915222,4.918581474800499,-6.455302602782542,-4.0854981908840795,8.025048049128785,-3.8753004925591603
55,-6.3452103563717435,-2.955884371485029,2.8623412373114605,14.520832507281888,-32.992970739092144,-14.535628363186,-0.2900121102147565,-13.625312504719714,-4.923534320325268,-4.7141364301954,-10.294761835312357
56,-2.3913532896917693,-14.98352423492743,-3.584161237794526,6.207309775643659,-22.176198830409927,-17.00982749705412,-1.793586588255605,-14.140489040588847,-9.457142907745984,-18.891505046766632,-13.151226356321452
57,0.46631179293807673,-16.005486877597107,-10.596764260408829,-4.195873995064472,-2.939872775759016,-11.63632113349681,0.2995346772427462,-8.8518995411542,-12.606163598749102,-23.89483346257891,-9.120591270984436
58,-0.41466703585215975,-6.652499035304906,-13.088370960585925,-9.585829603428744,14.522961674904337,-2.047663113786554,2.5771202847565884,-2.868434856740796,-10.146414756546823,-16.828496976774566,-0.8507142614345161
59,-4.031731546837456,2.3590710053638535,-9.188660105272215,-9.037806906870433,21.63725330939098,5.938012039783049,2.0571510043679453,-0.6400094892905683,-3.5274183409554616,-4.653793123303627,5.146777009477421
60,-6.805849394627979,1.4928747016404356,-1.6611779131451432,-7.013263439645573,17.323027552390585,8.273941206384679,-1.0699953972076883,-2.1833821116965644,0.6490133483799136,2.2282474551882063,4.392775997215388
61,-6.037706527174736,-8.250177357878004,4.203495107287047,-7.113362551343684,7.40095194018617,4.803555741602061,-4.003510380277828,-3.921439370330499,-3.011394138923105,-1.2438082007729276,-1.4986403645301352
62,-2.4546362623876457,-17.03234739540791,4.465400585714652,-7.91304349899292,-1.459913628441947,-1.6880954177099832,-4.217027012790952,-2.9239194745920143,-12.339536381011106,-11.366821855914836,-6.498224255381798
63,0.5266096275679919,-16.44347924784738,-0.8126119749278439,-5.55139575363612,-7.191507689198669,-8.11374037119807,-1.7101439042967193,-0.031892171319650144,-18.155110232684077,-19.74120558281334,-5.891794570854732
64,0.055098320148429095,-7.456229377129325,-7.940153663863941,0.3041852566660667,-12.07651160444532,-12.945836149916357,1.317917857851301,1.2740170429555737,-12.398623728022283,-20.2768313650574,-0.4695775904217545
65,-3.4955509128619213,1.5525773082460677,-12.378397720200676,4.5746275292975564,-17.72845119359542,-16.010692056952692,2.6535799500285364,-1.1332403026065048,3.4076029439361726,-13.024038056938016,4.771229917601663
66,-6.935344353014109,3.6451456656261367,-11.671832316688128,1.8279104986969306,-21.226972575090368,-17.055249200639675,1.8211288056811508,-5.510810096805193,18.0423163011366,-2.74616498059156,5.856662494795663
67,-7.25173156541221,-0.5573636843841903,-6.553723118743118,-7.024129367604548,-17.131794948967137,-14.988347836903163,-0.03594370186328888,-7.878423301769154,20.064971257229242,5.111825400469255,3.6254691001103847
68,-4.299617177369643,-5.055120048816411,0.1221961215974725,-14.167545582566943,-3.7821584873053493,-8.815245741484116,-1.5198611653580958,-6.032302492127126,8.551127641784902,7.42196881162877,2.342558189314239
69,-0.6913169114565363,-5.25629345282,5.438692982099494,-11.92732541293514,12.72458817338457,0.5970002242497036,-1.9482319750347916,-1.6742716601916723,-5.384097484909758,4.158656791764862,4.750471748259603
70,0.8729740137956581,-1.5403472696031844,7.919109168709541,-0.4710513839916307,21.837556404726847,9.856454002613924,-1.1801388154224473,1.5582138378059074,-8.52595043182373,-2.0099540845471986,8.790235166646996
71,0.17580995632677662,3.347176982279943,7.729511706804742,11.955024495416758,17.05792288071647,14.634008398469614,0.9264039543210244,1.995660773041297,1.9053119999945771,-6.614202428837212,9.48176832162604
72,-0.5180410310930136,8.517729664335446,5.917492661853226,16.766796251492842,1.9941998330914243,12.626187994772074,4.333394906958755,1.5685334035328455,15.088461916057431,-5.329638683674287,4.15923661845071
73,1.0402866103211228,14.971265727159928,3.5528695619836146,12.879163378355454,-12.02385188122185,5.519662189240358,8.015026416097369,3.419205578310149,16.286791406723918,2.929640131337302,-4.234172186072992
74,4.589334495213567,21.673638070420342,1.3697320295839894,6.6692341347129975,-15.096209873958509,-1.9444295326057746,9.790151362516442,8.073403402858851,0.6294973875795092,13.86666879726916,-9.26675531450583
75,7.359938834850886,23.607595738099548,-0.13010389707526382,4.49234431617114,-6.566822993512056,-5.427509478160313,7.654945628983634,12.343513356179606,-21.90397783201568,19.50861344045522,-6.713888619019061
