roi_id	roi_name	x	y	z	n_voxels
136	R_TE2p_ROI	48.0	-44.0	-19.0	257
137	R_PHT_ROI	59.0	-60.0	0.0	257
139	R_TPOJ1_ROI	54.0	-46.0	9.0	257
140	R_TPOJ2_ROI	53.0	-62.0	12.0	257
141	R_TPOJ3_ROI	43.0	-72.0	19.0	257
142	R_DVT_ROI	19.0	-73.0	34.0	257
143	R_PGp_ROI	39.0	-84.0	25.0	257
144	R_IP2_ROI	39.0	-51.0	42.0	257
146	R_IP0_ROI	31.0	-77.0	27.0	257
147	R_PFop_ROI	63.0	-23.0	26.0	257
149	R_PFm_ROI	50.0	-58.0	44.0	257
151	R_PGs_ROI	42.0	-75.0	38.0	257
152	R_V6A_ROI	22.0	-86.0	42.0	257
153	R_VMV1_ROI	20.0	-55.0	-7.0	257
154	R_VMV3_ROI	28.0	-63.0	-11.0	257
155	R_PHA2_ROI	32.0	-37.0	-12.0	257
156	R_V4t_ROI	49.0	-79.0	1.0	257
157	R_FST_ROI	48.0	-68.0	2.0	257
158	R_V3CD_ROI	36.0	-88.0	12.0	257
159	R_LO3_ROI	47.0	-80.0	12.0	257
160	R_VMV2_ROI	28.0	-56.0	-6.0	257
161	R_31pd_ROI	10.0	-53.0	36.0	257
162	R_31a_ROI	5.0	-38.0	43.0	257
163	R_VVC_ROI	32.0	-53.0	-17.0	257
164	R_25_ROI	5.0	24.0	-14.0	257
165	R_s32_ROI	9.0	36.0	-14.0	257
166	R_pOFC_ROI	14.0	14.0	-21.0	257
167	R_PoI1_ROI	39.0	-11.0	-4.0	257
168	R_Ig_ROI	36.0	-15.0	14.0	257
169	R_FOP5_ROI	36.0	27.0	5.0	257
170	R_p10p_ROI	25.0	61.0	5.0	257
171	R_p47r_ROI	46.0	43.0	1.0	257
172	R_TGv_ROI	41.0	-2.0	-44.0	257
173	R_MBelt_ROI	45.0	-17.0	4.0	257
174	R_LBelt_ROI	45.0	-27.0	8.0	257
175	R_A4_ROI	64.0	-23.0	9.0	257
176	R_STSva_ROI	52.0	-10.0	-16.0	257
177	R_TE1m_ROI	65.0	-27.0	-15.0	257
178	R_PI_ROI	45.0	-3.0	-15.0	257
179	R_a32pr_ROI	10.0	29.0	29.0	257
180	R_p24_ROI	6.0	37.0	15.0	257
181	L_V1_ROI	-12.0	-82.9	3.4	163
182	L_MST_ROI	-43.0	-65.0	4.0	257
183	L_V6_ROI	-18.0	-77.0	31.0	257
184	L_V2_ROI	-12.0	-79.0	6.0	257
185	L_V3_ROI	-20.0	-86.0	8.0	257
186	L_V4_ROI	-30.0	-84.0	-1.0	257
187	L_V8_ROI	-30.0	-73.0	-13.0	257
188	L_4_ROI	-28.0	-18.0	57.0	257
190	L_FEF_ROI	-44.0	-2.0	52.0	257
191	L_PEF_ROI	-46.0	3.0	36.0	257
192	L_55b_ROI	-49.0	2.0	47.0	257
193	L_V3A_ROI	-18.0	-88.0	32.0	257
194	L_RSC_ROI	-6.0	-37.0	21.0	257
195	L_POS2_ROI	-13.0	-70.0	40.0	257
196	L_V7_ROI	-28.0	-83.0	34.0	257
197	L_IPS1_ROI	-27.0	-71.0	39.0	257
198	L_FFC_ROI	-40.0	-54.0	-19.0	257
199	L_V3B_ROI	-30.0	-76.0	22.0	257
200	L_LO1_ROI	-38.0	-80.0	4.0	257
201	L_LO2_ROI	-44.0	-84.0	-1.0	257
202	L_PIT_ROI	-42.0	-81.0	-13.0	257
203	L_MT_ROI	-50.0	-70.0	8.0	257
204	L_A1_ROI	-42.6	-20.7	11.1	215
205	L_PSL_ROI	-63.0	-36.0	25.0	257
206	L_SFL_ROI	-8.0	14.0	66.0	257
207	L_PCV_ROI	-6.0	-53.0	52.0	257
208	L_STV_ROI	-60.0	-43.0	18.0	257
209	L_7Pm_ROI	-7.0	-67.0	54.0	257
210	L_7m_ROI	-5.0	-63.0	37.0	257
211	L_POS1_ROI	-14.0	-57.0	18.0	257
213	L_v23ab_ROI	-5.0	-55.0	20.0	257
215	L_31pv_ROI	-11.0	-44.0	34.0	257
216	L_5m_ROI	-6.0	-39.0	65.0	257
217	L_5mv_ROI	-13.0	-39.0	54.0	257
218	L_23c_ROI	-11.0	-33.0	44.0	257
219	L_5L_ROI	-14.0	-45.0	74.0	257
221	L_24dv_ROI	-10.0	-4.0	46.0	257
222	L_7AL_ROI	-22.0	-51.0	68.0	257
223	L_SCEF_ROI	-7.0	2.0	59.0	257
224	L_6ma_ROI	-19.0	3.0	68.0	257
225	L_7Am_ROI	-10.0	-59.0	64.0	257
226	L_7PL_ROI	-16.0	-71.0	60.0	257
227	L_7PC_ROI	-35.0	-47.0	63.0	257
228	L_LIPv_ROI	-28.0	-56.0	54.0	257
229	L_VIP_ROI	-23.0	-62.0	64.0	257
231	L_1_ROI	-46.0	-22.0	56.0	257
232	L_2_ROI	-37.0	-31.0	53.0	257
233	L_3a_ROI	-32.0	-20.0	47.0	257
234	L_6d_ROI	-37.0	-12.0	64.0	257
235	L_6mp_ROI	-17.0	-12.0	69.0	257
236	L_6v_ROI	-59.0	6.0	30.0	257
237	L_p24pr_ROI	-5.0	-4.0	40.0	257
238	L_33pr_ROI	-4.0	11.0	28.0	257
239	L_a24pr_ROI	-5.0	17.0	33.0	257
240	L_p32pr_ROI	-10.0	12.0	40.0	257
242	L_d32_ROI	-8.0	38.0	27.0	257
243	L_8BM_ROI	-6.0	27.0	48.0	257
245	L_10r_ROI	-7.0	51.0	-10.0	253
