roi_id,sampen
1,6.825276830054867
2,3.9728297988345296
3,4.426264754702098
4,3.9768635012020654
5,3.2150128909708506
6,3.6031218698399963
7,4.540568381362703
13,4.632643477574951
16,3.9958323657847714
17,3.9722930708301583
18,4.763299741979669
19,3.776582573262788
20,3.4520756050415917
21,3.7245605732754257
22,4.465974464504069
23,3.912797236575241
48,3.4289344902985412
49,3.569108549520319
121,4.343623165986681
142,4.568283759574526
152,3.957865735953572
153,4.860904390334339
154,4.230045993879883
156,3.224372785464689
157,3.4258173380320867
158,3.637308394688346
159,3.936637939002571
160,4.576925181655738
163,4.290677160902923
181,4.012383724455832
182,4.287951150692944
183,4.191034028036411
184,4.001386540270962
185,3.2334138274277
186,3.329758209309787
187,5.420151630975487
193,5.147898695112313
196,4.072756342435315
198,5.0
199,3.898120385980786
201,4.0
202,4.422312163076597
203,4.062046137720491
229,4.611434712082347
301,4.584962500721157
322,4.451211111832329
332,3.704544116473829
333,4.276970312680993
334,3.8690758591459224
336,5.1263357328946295
337,3.8799235480082492
338,4.327765034909647
339,4.592782005180456
340,5.2208761888890685
343,4.539659138853947
