roi_id,sampen
8,2.7074025455602926
9,3.330616147485698
36,3.9528660244089053
39,2.9849504131267057
41,3.9700844220957126
42,3.259562213926989
47,2.93522594259598
51,2.4682703821423613
52,3.3125070786548463
54,2.6429494996594793
55,2.6213193010141915
56,3.1378541605339887
100,3.9818526532897405
101,4.257157839497125
102,4.190244985821908
115,4.549930484566394
168,4.500867408786218
188,2.622437206139819
189,3.110053545464914
216,3.4909863525121425
219,3.236326227164822
220,4.026800059343715
221,3.9521109883554537
222,2.903518498146019
231,2.430987640623147
232,2.7720163007264134
233,3.8898944447742436
234,3.19426882042206
235,3.1656325405521866
236,3.3115861506659034
280,3.500002166673987
281,3.9541963103868754
282,4.164688353076166
284,5.015596855051019
295,4.067882472280823
348,4.110921814074328
