Spatial overlap report
Self atlas : /BICNAS2/group-northoff/jkokino/codes/har_med_codes/02_timeseries_extraction/results/atlases/self_atlas_1mm.nii.gz
Radius     : 4.0mm
Checked    : 327
Removed    : 11
Clean      : 316

REMOVED:
111	R_AVI_ROI	30.67	24.96	-2.66
112	R_AAIC_ROI	33.20	14.30	-11.52
113	R_FOP1_ROI	50.57	1.63	4.28
114	R_FOP3_ROI	36.19	2.30	12.76
115	R_FOP2_ROI	43.24	-4.44	14.39
117	R_AIP_ROI	38.84	-41.10	43.92
118	R_EC_ROI	22.62	-11.83	-30.52
119	R_PreS_ROI	16.92	-32.75	-12.99
121	R_ProS_ROI	22.36	-56.44	4.69
122	R_PeEc_ROI	32.56	-9.82	-33.86
123	R_STGa_ROI	52.27	12.11	-15.15
124	R_PBelt_ROI	54.07	-25.97	8.88
125	R_A5_ROI	64.11	-15.01	-1.33
126	R_PHA1_ROI	23.71	-36.85	-15.21
127	R_PHA3_ROI	31.73	-38.98	-16.87
128	R_STSda_ROI	55.80	-6.28	-10.04
129	R_STSdp_ROI	53.92	-31.68	0.88
130	R_STSvp_ROI	55.77	-34.16	-3.97
131	R_TGd_ROI	41.54	10.92	-33.69
132	R_TE1a_ROI	61.40	-7.29	-20.98
133	R_TE1p_ROI	62.20	-45.88	-11.10
134	R_TE2a_ROI	57.36	-23.51	-27.98
135	R_TF_ROI	43.69	-24.38	-27.79
136	R_TE2p_ROI	48.40	-44.16	-19.29
137	R_PHT_ROI	59.44	-59.77	0.22
139	R_TPOJ1_ROI	54.33	-45.78	9.30
140	R_TPOJ2_ROI	53.49	-61.77	12.40
141	R_TPOJ3_ROI	43.49	-71.70	18.67
142	R_DVT_ROI	19.28	-73.14	34.02
143	R_PGp_ROI	38.52	-84.38	24.88
144	R_IP2_ROI	39.43	-50.96	41.98
146	R_IP0_ROI	31.08	-77.31	26.95
147	R_PFop_ROI	63.44	-23.29	26.15
149	R_PFm_ROI	50.50	-57.50	43.57
151	R_PGs_ROI	41.60	-74.78	38.51
152	R_V6A_ROI	21.88	-86.02	42.44
153	R_VMV1_ROI	19.98	-55.46	-6.62
154	R_VMV3_ROI	28.30	-62.87	-11.37
155	R_PHA2_ROI	31.87	-37.31	-11.64
156	R_V4t_ROI	48.56	-79.15	0.85
