"Region","Sphere · max","Parcel · max"
"Exteroception","-0.75","-0.26"
"Visual","-0.57","-0.34"
"Cognition","0.53","-0.15"
"Auditory","-0.17","0.10"
"Interoception","0.21","-0.02"
