"Region","Sphere · max","Parcel · max"
"Visual","0.65 ✓","0.75 ✓"
"Exteroception","0.28","0.70 ✓"
"Interoception","0.43 ✓","0.52 ✓"
"Cognition","0.34","0.00"
"Auditory","0.02","0.11"
