"category","n_roi","drug_session_b","drug_session_SE","drug_session_t","drug_session_p"
"Sensory-Motor",267,-0.113316789267795,0.0120235504713484,-9.42456968412318,4.81763399052392e-21
"Interoception",14,-0.00798428673217751,0.0595845010342989,-0.13399938899516,0.893432049085585
"Exteroception",16,-0.0731413968599692,0.0350591104460892,-2.0862308235812,0.0371945280580537
"Cognition",12,-0.0652010360507243,0.0489219421440685,-1.33275649316448,0.182995007158784
