roi_id,sampen
8,3.026062296586196
9,3.5849625007211565
36,4.00239186853498
39,3.5314206476804406
41,4.25278671319017
42,3.7769043395363497
47,3.800180889169868
51,2.706148847241214
52,3.7927673858345576
54,3.2857943088336494
55,3.3098552625867876
56,3.7520294666210923
100,3.8675337955541216
101,4.473617524880608
102,5.0242162374208235
115,5.082740431007936
168,4.50508535294071
188,2.953825929560514
189,3.398215009084118
216,4.026152287855968
219,3.7263979996680865
220,4.538886630173182
221,4.46346149567345
222,3.792330831345663
231,3.0723792524012135
232,3.533706842198958
233,3.8091305469474555
234,3.5577042936767325
235,3.388667516087112
236,4.36923380966572
280,4.582556003014061
281,4.583139765114338
282,4.463524373271181
284,4.837102265451656
295,5.32382513005996
348,5.100319533956446
