outcome,effect,SS,df,MS,F,p,eta2_partial,p_bonferroni,p_fdr
self_mean,drug,0.0465205811369063,1,0.0465205811369063,0.5804480655957495,0.4515477802774366,0.017285298411203666,NaN,NaN
self_mean,session,0.2639239538597917,1,0.2639239538597917,5.90922973336827,0.0206594929250963,0.15187218492533042,NaN,NaN
self_mean,drug_x_session,0.00021386298513181534,1,0.00021386298513181534,0.0047883698774806496,0.9452495949921058,0.00014508106592953817,1.0,0.9452495949921058
nonself_mean,drug,0.04439382521592467,1,0.04439382521592467,0.9552331686496801,0.3355016981941059,0.02813213397490763,NaN,NaN
nonself_mean,session,0.1384097718662939,1,0.1384097718662939,5.122530749639959,0.030319171315269167,0.13437016506802446,NaN,NaN
nonself_mean,drug_x_session,0.004056975130465671,1,0.004056975130465671,0.15014821263061337,0.7008818065860216,0.004529337596548213,1.0,0.9452495949921058
diff_mean,drug,0.18180393375693027,1,0.18180393375693027,1.9505918582214203,0.17184628402717256,0.05580998073320418,NaN,NaN
diff_mean,session,0.02007907634280378,1,0.02007907634280378,0.3294277797494362,0.5698879211138249,0.009883991466231912,NaN,NaN
diff_mean,drug_x_session,0.0024078976313020336,1,0.0024078976313020336,0.03950522210291032,0.8436706192508676,0.0011956965407727096,1.0,0.9452495949921058
