subject,session,group,roi_pos_id,roi_name,auc,G1,G1_z
sub-01,ses-01,placebo,1,R_V1_ROI,2.573418951204492,-3.203,-0.6587044808479791
sub-01,ses-01,placebo,2,R_MST_ROI,2.5617185625581933,-4.11376,-0.8992234320288183
sub-01,ses-01,placebo,3,R_V6_ROI,2.52585975186982,-4.46373,-0.9916456040003127
sub-01,ses-01,placebo,4,R_V2_ROI,2.863837642807082,-4.01526,-0.8732109625623147
sub-01,ses-01,placebo,5,R_V3_ROI,2.7941755023906407,-3.78511,-0.8124315732454035
sub-01,ses-01,placebo,6,R_V4_ROI,2.6765499500912493,-4.05539,-0.8838087331175511
sub-01,ses-01,placebo,7,R_V8_ROI,2.92366777301316,-4.28174,-0.9435845956936227
sub-01,ses-01,placebo,8,R_4_ROI,2.7031524383887597,-5.06423,-1.1502292376514325
sub-01,ses-01,placebo,9,R_3b_ROI,2.704432014217025,-5.05489,-1.147762674556842
sub-01,ses-01,placebo,10,R_FEF_ROI,2.627743308758724,-2.28772,-0.41699186101750957
sub-01,ses-01,placebo,11,R_PEF_ROI,2.808571380638648,-1.72122,-0.2673871508370608
sub-01,ses-01,placebo,12,R_55b_ROI,2.4612423280714792,-0.452943,0.06754702923977729
sub-01,ses-01,placebo,13,R_V3A_ROI,2.5592283993905776,-4.45055,-0.9881649507255054
sub-01,ses-01,placebo,14,R_RSC_ROI,2.53322250956399,2.29506,0.7932561067155113
sub-01,ses-01,placebo,15,R_POS2_ROI,2.980411269639379,2.89452,0.9515650909428224
sub-01,ses-01,placebo,16,R_V7_ROI,2.589559852120152,-4.41102,-0.9777256317609279
sub-01,ses-01,placebo,18,R_V3B_ROI,2.702583247271252,-4.20064,-0.9221672223562275
sub-01,ses-01,placebo,21,R_MT_ROI,2.649014277447098,-4.00105,-0.8694583007235431
sub-01,ses-01,placebo,22,R_A1_ROI,2.57609607552352,-3.74973,-0.8030882111162169
sub-01,ses-01,placebo,23,R_PSL_ROI,2.839837298654296,-1.35183,-0.1698364290479066
sub-01,ses-01,placebo,24,R_SFL_ROI,2.5802014118995307,3.2639,1.0491131718721323
sub-01,ses-01,placebo,25,R_PCV_ROI,2.734236651716961,-0.854062,-0.03838287674940429
sub-01,ses-01,placebo,26,R_STV_ROI,2.87583468938211,-0.864429,-0.04112065615000573
sub-01,ses-01,placebo,27,R_7Pm_ROI,2.9066339451149803,1.9777,0.7094457786963283
