"category","n_roi","drug_session_b","drug_session_SE","drug_session_t","drug_session_p"
"Sensory-Motor",316,-0.0188588613766721,0.00953354523959303,-1.97815827194598,0.0479236543692814
"Interoception",10,-0.032675353815707,0.0405899573445313,-0.805010794624779,0.421106008159492
"Exteroception",14,-0.122622237896614,0.0389054329728252,-3.15180242261443,0.00167460178869131
"Cognition",11,-0.0555060317665438,0.0401733257555963,-1.38166384591177,0.167501722408857
