"grp","var1","var2","vcov","sdcor"
"roi_pos_id","(Intercept)",NA,0.0155104588146494,0.124540992507083
"subject","(Intercept)",NA,0.0680530096839489,0.26086971783622
"subject","sessionses-02",NA,0.0821688255665012,0.286651051919405
"subject","(Intercept)","sessionses-02",-0.0503115033260301,-0.672806356814053
"Residual",NA,NA,0.132407926640367,0.363878999999131
