"grp","var1","var2","vcov","sdcor"
"roi_pos_id","(Intercept)",NA,0.0126794177640874,0.112602920761796
"subject","(Intercept)",NA,0.0229990317270233,0.151654316545964
"Residual",NA,NA,0.120560109857044,0.347217669275405
