"contrast1","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","avg_flattening_p","avg_flattening_b"
"((ses-02) - (ses-01) verum) - ((ses-02) - (ses-01) placebo)","Interoception - nonself",0.0974769173033477,0.0556146667941071,9305.00238258613,-0.0115400071638839,0.206493841770579,1.7527196137706,0.0796830783659854,0.020578675938342,0.0783750373253535
"((ses-02) - (ses-01) verum) - ((ses-02) - (ses-01) placebo)","Exteroception - nonself",0.00925228198868887,0.0499649278822658,9305.00249274303,-0.0886899171277576,0.107194481105135,0.185175529733383,0.853095397476439,NA,NA
"((ses-02) - (ses-01) verum) - ((ses-02) - (ses-01) placebo)","Cognition - nonself",0.128395912684024,0.0534885039137567,9305.00242111181,0.0235467330132043,0.233245092354843,2.40043940827071,0.016394917926373,NA,NA
