subject,session,atlas,roi_id,tau,spike
sub-10,ses-02,self,17,5.193702147200268,B
sub-10,ses-02,nonself,71,5.193702147200268,B
sub-11,ses-01,nonself,308,5.193702147200268,B
sub-11,ses-02,self,12,5.193702147200268,B
sub-11,ses-02,nonself,31,5.193702147200268,B
sub-11,ses-02,nonself,117,1.0,A
sub-11,ses-02,nonself,127,5.193702147200268,B
sub-11,ses-02,nonself,151,1.0,A
sub-11,ses-02,nonself,209,5.193702147200268,B
sub-11,ses-02,nonself,221,5.193702147200268,B
sub-11,ses-02,nonself,308,1.0,A
sub-13,ses-01,nonself,27,5.193702147200268,B
sub-13,ses-01,nonself,78,1.0,A
sub-13,ses-01,nonself,114,1.0,A
sub-13,ses-01,nonself,151,1.0,A
sub-13,ses-01,nonself,209,5.193702147200268,B
sub-13,ses-01,nonself,235,1.0,A
sub-13,ses-01,nonself,237,1.0,A
sub-13,ses-01,nonself,238,1.0,A
sub-13,ses-01,nonself,308,1.0,A
sub-13,ses-02,self,37,5.193702147200268,B
sub-13,ses-02,nonself,19,1.0,A
sub-13,ses-02,nonself,24,1.0,A
sub-13,ses-02,nonself,40,5.193702147200268,B
sub-13,ses-02,nonself,61,1.0,A
sub-13,ses-02,nonself,92,5.193702147200268,B
sub-13,ses-02,nonself,135,1.0,A
sub-13,ses-02,nonself,138,1.0,A
sub-13,ses-02,nonself,151,1.0,A
sub-14,ses-02,nonself,108,5.193702147200268,B
sub-14,ses-02,nonself,237,1.0,A
sub-14,ses-02,nonself,249,5.193702147200268,B
sub-14,ses-02,nonself,252,5.193702147200268,B
sub-14,ses-02,nonself,302,5.193702147200268,B
sub-15,ses-01,self,8,5.193702147200268,B
sub-15,ses-01,self,28,5.193702147200268,B
sub-15,ses-01,nonself,37,5.193702147200268,B
sub-15,ses-01,nonself,47,5.193702147200268,B
sub-15,ses-01,nonself,57,5.193702147200268,B
sub-15,ses-01,nonself,76,1.0,A
sub-15,ses-01,nonself,78,1.0,A
sub-15,ses-01,nonself,79,5.193702147200268,B
sub-15,ses-01,nonself,117,1.0,A
sub-15,ses-01,nonself,125,5.193702147200268,B
sub-15,ses-01,nonself,151,1.0,A
sub-15,ses-01,nonself,235,1.0,A
sub-15,ses-01,nonself,237,1.0,A
sub-15,ses-01,nonself,262,5.193702147200268,B
sub-15,ses-01,nonself,308,1.0,A
sub-15,ses-02,nonself,78,1.0,A
sub-15,ses-02,nonself,149,5.193702147200268,B
sub-15,ses-02,nonself,235,1.0,A
sub-15,ses-02,nonself,237,1.0,A
sub-15,ses-02,nonself,240,1.0,A
sub-15,ses-02,nonself,308,1.0,A
sub-16,ses-01,nonself,132,5.193702147200268,B
sub-16,ses-01,nonself,149,5.193702147200268,B
sub-16,ses-01,nonself,172,5.193702147200268,B
sub-16,ses-01,nonself,270,5.193702147200268,B
sub-16,ses-01,nonself,291,5.193702147200268,B
sub-16,ses-02,self,37,5.193702147200268,B
sub-16,ses-02,nonself,93,5.193702147200268,B
sub-16,ses-02,nonself,147,5.193702147200268,B
sub-17,ses-01,nonself,20,5.193702147200268,B
sub-17,ses-01,nonself,53,5.193702147200268,B
sub-17,ses-01,nonself,60,5.193702147200268,B
sub-17,ses-01,nonself,68,1.0,A
sub-17,ses-01,nonself,114,1.0,A
sub-17,ses-01,nonself,126,5.193702147200268,B
sub-17,ses-01,nonself,134,5.193702147200268,B
sub-17,ses-01,nonself,155,5.193702147200268,B
sub-17,ses-01,nonself,218,1.0,A
sub-17,ses-01,nonself,227,1.0,A
sub-17,ses-01,nonself,237,1.0,A
sub-17,ses-01,nonself,272,1.0,A
sub-17,ses-01,nonself,302,5.193702147200268,B
sub-17,ses-01,nonself,305,5.193702147200268,B
sub-17,ses-01,nonself,311,5.193702147200268,B
sub-17,ses-02,self,4,5.193702147200268,B
sub-17,ses-02,nonself,24,5.193702147200268,B
sub-17,ses-02,nonself,56,5.193702147200268,B
sub-17,ses-02,nonself,141,5.193702147200268,B
sub-17,ses-02,nonself,147,5.193702147200268,B
sub-17,ses-02,nonself,172,5.193702147200268,B
sub-17,ses-02,nonself,193,5.193702147200268,B
sub-17,ses-02,nonself,236,5.193702147200268,B
sub-17,ses-02,nonself,256,5.193702147200268,B
sub-18,ses-01,self,24,5.193702147200268,B
sub-18,ses-01,nonself,29,5.193702147200268,B
sub-18,ses-01,nonself,117,1.0,A
sub-18,ses-01,nonself,147,5.193702147200268,B
sub-18,ses-01,nonself,149,5.0237622673722875,B
sub-18,ses-01,nonself,272,1.0,A
sub-18,ses-01,nonself,294,5.193702147200268,B
sub-18,ses-01,nonself,308,1.0,A
sub-18,ses-02,nonself,16,5.193702147200268,B
sub-18,ses-02,nonself,41,5.193702147200268,B
sub-18,ses-02,nonself,48,5.193702147200268,B
sub-18,ses-02,nonself,77,5.193702147200268,B
sub-18,ses-02,nonself,89,5.193702147200268,B
sub-18,ses-02,nonself,117,1.0,A
sub-18,ses-02,nonself,156,5.193702147200268,B
sub-18,ses-02,nonself,157,5.193702147200268,B
sub-18,ses-02,nonself,193,5.193702147200268,B
sub-18,ses-02,nonself,267,5.193702147200268,B
sub-19,ses-01,nonself,68,1.0,A
sub-19,ses-01,nonself,77,1.0,A
sub-19,ses-01,nonself,78,1.0,A
sub-19,ses-01,nonself,81,1.0,A
sub-19,ses-01,nonself,102,1.0,A
sub-19,ses-01,nonself,105,1.0,A
sub-19,ses-01,nonself,114,1.0,A
sub-19,ses-01,nonself,117,1.0,A
sub-19,ses-01,nonself,149,1.0,A
sub-19,ses-01,nonself,151,1.0,A
sub-19,ses-01,nonself,222,1.0,A
sub-19,ses-01,nonself,227,1.0,A
sub-19,ses-01,nonself,236,1.0,A
sub-19,ses-01,nonself,237,1.0,A
sub-19,ses-01,nonself,240,1.0,A
sub-19,ses-01,nonself,272,1.0,A
sub-19,ses-01,nonself,308,1.0,A
sub-19,ses-02,self,17,5.193702147200268,B
sub-19,ses-02,nonself,9,5.193702147200268,B
sub-19,ses-02,nonself,63,1.0,A
sub-19,ses-02,nonself,68,1.0,A
sub-19,ses-02,nonself,76,1.0,A
sub-19,ses-02,nonself,77,1.0,A
sub-19,ses-02,nonself,78,1.0,A
sub-19,ses-02,nonself,81,1.0,A
sub-19,ses-02,nonself,102,1.0,A
sub-19,ses-02,nonself,114,1.0,A
sub-19,ses-02,nonself,131,5.193702147200268,B
sub-19,ses-02,nonself,149,1.0,A
sub-19,ses-02,nonself,151,1.0,A
sub-19,ses-02,nonself,192,5.193702147200268,B
sub-19,ses-02,nonself,198,5.193702147200268,B
sub-19,ses-02,nonself,222,1.0,A
sub-19,ses-02,nonself,226,1.0,A
sub-19,ses-02,nonself,227,1.0,A
sub-19,ses-02,nonself,234,1.0,A
sub-19,ses-02,nonself,236,1.0,A
sub-19,ses-02,nonself,237,1.0,A
sub-19,ses-02,nonself,240,1.0,A
sub-19,ses-02,nonself,272,1.0,A
sub-19,ses-02,nonself,301,5.193702147200268,B
sub-19,ses-02,nonself,306,1.0,A
sub-19,ses-02,nonself,307,1.0,A
sub-19,ses-02,nonself,308,1.0,A
sub-20,ses-01,self,1,5.193702147200268,B
sub-20,ses-01,self,24,5.193702147200268,B
sub-20,ses-01,nonself,2,5.193702147200268,B
