"group","term","estimate","SE","df","t_value","p_value"
"placebo","(Intercept)",2.89146523067278,0.038428893299608,18.8834101536724,75.2419594321826,7.23705069269596e-25
"placebo","sessionses-02",0.103749761250019,0.0080514771392674,9006.09898061142,12.885804611433,1.1629696025056e-37
"placebo","G1_z",0.0137226386303978,0.00957983463340017,376.683156370976,1.432450470758,0.152844265185471
"placebo","sessionses-02:G1_z",-0.0579096187072113,0.00804776262783162,9006.20247526224,-7.19574139860215,6.70933380323804e-13
"verum","(Intercept)",2.85643016554743,0.0359258343377892,17.2568929580147,79.5090835939986,1.39721405838446e-23
"verum","sessionses-02",0.0734030726715667,0.00637468082605373,8483.12493488321,11.5147839828409,1.87027031581445e-30
"verum","G1_z",0.0307243857209442,0.00761943021985503,375.78577851378,4.03237313478918,6.68849910587826e-05
"verum","sessionses-02:G1_z",-0.0259627086669869,0.00637836869937732,8483.28291512258,-4.07043084065077,4.73521804997702e-05
