"grp","var1","var2","vcov","sdcor"
"roi_uid","(Intercept)",NA,0.0124188759615212,0.111440010595482
"subject","(Intercept)",NA,0.0212143215324942,0.145651369827043
"Residual",NA,NA,0.117501430232416,0.342784816222096
